,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,49,139,5,200
1,2020-08-13T00:00:00Z,46,143,6,200
2,2020-08-14T00:00:00Z,50,150,9,200
3,2020-08-15T00:00:00Z,54,147,11,200
4,2020-08-16T00:00:00Z,46,151,11,200
5,2020-08-17T00:00:00Z,54,152,10,200
6,2020-08-18T00:00:00Z,56,142,10,200
7,2020-08-19T00:00:00Z,59,146,12,200
8,2020-08-20T00:00:00Z,58,146,9,200
9,2020-08-21T00:00:00Z,50,145,11,200
10,2020-08-22T00:00:00Z,58,147,11,200
11,2020-08-23T00:00:00Z,46,145,11,200
12,2020-08-24T00:00:00Z,64,149,8,200
13,2020-08-25T00:00:00Z,64,142,6,199
14,2020-08-26T00:00:00Z,66,146,7,200
15,2020-08-27T00:00:00Z,61,147,9,200
16,2020-08-28T00:00:00Z,61,146,10,200
17,2020-08-29T00:00:00Z,60,142,7,200
18,2020-08-30T00:00:00Z,58,152,10,200
19,2020-08-31T00:00:00Z,64,138,8,200
20,2020-09-01T00:00:00Z,65,138,11,200
21,2020-09-02T00:00:00Z,64,140,10,200
22,2020-09-03T00:00:00Z,58,147,11,200
23,2020-09-04T00:00:00Z,65,151,11,200
24,2020-09-05T00:00:00Z,59,145,10,200
25,2020-09-06T00:00:00Z,69,144,10,200
26,2020-09-07T00:00:00Z,66,143,10,200
27,2020-09-08T00:00:00Z,59,137,11,200
28,2020-09-09T00:00:00Z,54,141,10,200
29,2020-09-10T00:00:00Z,54,140,12,200
30,2020-09-11T00:00:00Z,52,141,12,200
31,2020-09-12T00:00:00Z,55,139,11,200
32,2020-09-13T00:00:00Z,50,142,9,200
33,2020-09-14T00:00:00Z,46,148,9,200
34,2020-09-15T00:00:00Z,55,145,6,200
35,2020-09-16T00:00:00Z,47,146,5,200
36,2020-09-17T00:00:00Z,43,151,6,200
37,2020-09-18T00:00:00Z,43,153,6,200
38,2020-09-19T00:00:00Z,55,152,7,200
39,2020-09-20T00:00:00Z,48,153,9,200
40,2020-09-21T00:00:00Z,56,150,11,200
41,2020-09-22T00:00:00Z,57,151,13,200
42,2020-09-23T00:00:00Z,63,147,13,200
43,2020-09-24T00:00:00Z,53,154,12,200
44,2020-09-25T00:00:00Z,53,153,13,200
45,2020-09-26T00:00:00Z,59,151,11,200
46,2020-09-27T00:00:00Z,55,146,10,200
47,2020-09-28T00:00:00Z,55,146,9,200
48,2020-09-29T00:00:00Z,57,139,7,200
49,2020-09-30T00:00:00Z,52,143,6,200
50,2020-10-01T00:00:00Z,56,148,4,200
51,2020-10-02T00:00:00Z,48,147,7,200
52,2020-10-03T00:00:00Z,46,144,9,200
53,2020-10-04T00:00:00Z,46,145,8,200
54,2020-10-05T00:00:00Z,52,144,7,200
55,2020-10-06T00:00:00Z,50,142,9,200
56,2020-10-07T00:00:00Z,41,143,11,200
57,2020-10-08T00:00:00Z,39,149,11,200
58,2020-10-09T00:00:00Z,45,151,12,200
59,2020-10-10T00:00:00Z,44,158,13,200
60,2020-10-11T00:00:00Z,48,157,13,200
61,2020-10-12T00:00:00Z,43,156,13,200
62,2020-10-13T00:00:00Z,52,150,12,200
63,2020-10-14T00:00:00Z,51,149,7,200
64,2020-10-15T00:00:00Z,54,150,8,200
65,2020-10-16T00:00:00Z,52,145,6,200
66,2020-10-17T00:00:00Z,56,146,7,200
67,2020-10-18T00:00:00Z,55,147,9,200
68,2020-10-19T00:00:00Z,57,147,9,200
69,2020-10-20T00:00:00Z,50,151,12,200
70,2020-10-21T00:00:00Z,48,150,12,200
71,2020-10-22T00:00:00Z,46,157,12,200
72,2020-10-23T00:00:00Z,45,159,13,200
73,2020-10-24T00:00:00Z,42,157,14,200
74,2020-10-25T00:00:00Z,44,153,12,200
75,2020-10-26T00:00:00Z,50,152,9,197
76,2020-10-27T00:00:00Z,55,147,8,200
77,2020-10-29T00:00:00Z,52,150,10,200
78,2020-10-30T00:00:00Z,51,152,8,200
79,2020-10-31T00:00:00Z,56,152,9,200
80,2020-11-01T00:00:00Z,56,155,9,200
81,2020-11-02T00:00:00Z,57,159,7,200
82,2020-11-03T00:00:00Z,56,161,5,200
83,2020-11-04T00:00:00Z,52,157,7,199
