,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,28,29,1,66
1,2020-08-13T00:00:00Z,25,27,1,61
2,2020-08-14T00:00:00Z,29,29,1,58
3,2020-08-15T00:00:00Z,32,25,1,56
4,2020-08-16T00:00:00Z,27,27,2,55
5,2020-08-17T00:00:00Z,34,28,2,59
6,2020-08-18T00:00:00Z,40,34,1,70
7,2020-08-19T00:00:00Z,40,34,2,67
8,2020-08-20T00:00:00Z,40,33,1,67
9,2020-08-21T00:00:00Z,33,34,2,60
10,2020-08-22T00:00:00Z,33,32,2,56
11,2020-08-23T00:00:00Z,26,30,2,53
12,2020-08-24T00:00:00Z,39,37,1,62
13,2020-08-25T00:00:00Z,42,40,2,74
14,2020-08-26T00:00:00Z,42,41,4,74
15,2020-08-27T00:00:00Z,32,39,4,64
16,2020-08-28T00:00:00Z,35,35,5,64
17,2020-08-29T00:00:00Z,34,34,3,69
18,2020-08-30T00:00:00Z,29,32,3,51
19,2020-08-31T00:00:00Z,39,33,3,67
20,2020-09-01T00:00:00Z,39,34,2,71
21,2020-09-02T00:00:00Z,40,36,2,72
22,2020-09-03T00:00:00Z,29,30,1,52
23,2020-09-04T00:00:00Z,32,34,1,51
24,2020-09-05T00:00:00Z,31,31,2,48
25,2020-09-06T00:00:00Z,35,34,3,55
26,2020-09-07T00:00:00Z,36,39,3,61
27,2020-09-08T00:00:00Z,33,38,3,68
28,2020-09-09T00:00:00Z,31,33,2,62
29,2020-09-10T00:00:00Z,27,31,1,55
30,2020-09-11T00:00:00Z,25,28,1,48
31,2020-09-12T00:00:00Z,30,28,1,52
32,2020-09-13T00:00:00Z,23,26,0,48
33,2020-09-14T00:00:00Z,19,28,0,48
34,2020-09-15T00:00:00Z,29,34,0,60
35,2020-09-16T00:00:00Z,27,33,0,59
36,2020-09-17T00:00:00Z,24,29,1,54
37,2020-09-18T00:00:00Z,19,23,1,43
38,2020-09-19T00:00:00Z,28,24,1,45
39,2020-09-20T00:00:00Z,22,23,1,40
40,2020-09-21T00:00:00Z,27,22,1,40
41,2020-09-22T00:00:00Z,30,23,0,49
42,2020-09-23T00:00:00Z,32,22,0,48
43,2020-09-24T00:00:00Z,26,20,0,40
44,2020-09-25T00:00:00Z,29,23,0,41
45,2020-09-26T00:00:00Z,32,23,0,43
46,2020-09-27T00:00:00Z,28,17,0,41
47,2020-09-28T00:00:00Z,28,22,0,53
48,2020-09-29T00:00:00Z,32,26,0,61
49,2020-09-30T00:00:00Z,28,24,0,55
50,2020-10-01T00:00:00Z,26,25,0,50
51,2020-10-02T00:00:00Z,20,18,0,42
52,2020-10-03T00:00:00Z,18,17,0,45
53,2020-10-04T00:00:00Z,20,20,0,46
54,2020-10-05T00:00:00Z,20,17,1,45
55,2020-10-06T00:00:00Z,25,27,1,60
56,2020-10-07T00:00:00Z,21,27,1,57
57,2020-10-08T00:00:00Z,18,27,1,53
58,2020-10-09T00:00:00Z,20,27,1,49
59,2020-10-10T00:00:00Z,25,28,1,49
60,2020-10-11T00:00:00Z,27,29,1,50
61,2020-10-12T00:00:00Z,18,26,1,47
62,2020-10-13T00:00:00Z,29,31,1,56
63,2020-10-14T00:00:00Z,32,35,0,62
64,2020-10-15T00:00:00Z,30,34,0,60
65,2020-10-16T00:00:00Z,36,33,0,66
66,2020-10-17T00:00:00Z,38,37,0,69
67,2020-10-18T00:00:00Z,33,31,1,58
68,2020-10-19T00:00:00Z,35,29,1,59
69,2020-10-20T00:00:00Z,33,28,1,61
70,2020-10-21T00:00:00Z,35,31,1,60
71,2020-10-22T00:00:00Z,30,29,1,52
72,2020-10-23T00:00:00Z,27,30,1,52
73,2020-10-24T00:00:00Z,26,27,0,45
74,2020-10-25T00:00:00Z,28,27,0,49
75,2020-10-26T00:00:00Z,32,31,0,54
76,2020-10-27T00:00:00Z,36,33,0,60
77,2020-10-29T00:00:00Z,27,25,0,48
78,2020-10-30T00:00:00Z,26,24,1,48
79,2020-10-31T00:00:00Z,31,25,1,48
80,2020-11-01T00:00:00Z,31,25,1,46
81,2020-11-02T00:00:00Z,29,25,1,47
82,2020-11-03T00:00:00Z,29,25,1,46
83,2020-11-04T00:00:00Z,26,24,1,44
84,2020-11-05T00:00:00Z,26,19,1,40
85,2020-11-06T00:00:00Z,24,15,0,36
86,2020-11-07T00:00:00Z,28,20,0,44
87,2020-11-08T00:00:00Z,25,19,0,36
88,2020-11-09T00:00:00Z,15,12,0,27
89,2020-11-10T00:00:00Z,25,16,0,39
90,2020-11-11T00:00:00Z,25,19,0,40
91,2020-11-12T00:00:00Z,25,21,0,42
92,2020-11-13T00:00:00Z,32,30,0,53
93,2020-11-14T00:00:00Z,29,29,0,51
94,2020-11-15T00:00:00Z,26,32,0,48
95,2020-11-16T00:00:00Z,24,34,0,48
96,2020-11-17T00:00:00Z,32,35,0,56
97,2020-11-18T00:00:00Z,34,35,0,57
98,2020-11-19T00:00:00Z,31,33,0,55
99,2020-11-20T00:00:00Z,31,29,0,58
100,2020-11-21T00:00:00Z,33,32,0,59
101,2020-11-23T00:00:00Z,26,28,0,51
102,2020-11-24T00:00:00Z,34,33,0,70
103,2020-11-25T00:00:00Z,31,29,0,65
104,2020-11-26T00:00:00Z,35,28,0,67
105,2020-11-27T00:00:00Z,32,32,0,69
106,2020-11-28T00:00:00Z,28,24,0,54
107,2020-11-29T00:00:00Z,27,24,0,53
108,2020-11-30T00:00:00Z,34,30,1,59
109,2020-12-01T00:00:00Z,34,35,1,63
110,2020-12-02T00:00:00Z,36,38,1,64
111,2020-12-03T00:00:00Z,33,39,1,63
112,2020-12-04T00:00:00Z,37,35,1,67
113,2020-12-05T00:00:00Z,42,35,1,65
114,2020-12-07T00:00:00Z,26,26,1,53
115,2020-12-08T00:00:00Z,38,31,0,65
116,2020-12-09T00:00:00Z,39,29,0,63
117,2020-12-10T00:00:00Z,37,28,0,61
118,2020-12-11T00:00:00Z,43,28,0,69
119,2020-12-12T00:00:00Z,47,34,0,75
120,2020-12-13T00:00:00Z,48,33,0,71
121,2020-12-14T00:00:00Z,32,24,0,53
122,2020-12-15T00:00:00Z,38,23,0,55
123,2020-12-16T00:00:00Z,39,30,0,59
124,2020-12-17T00:00:00Z,38,25,0,58
125,2020-12-18T00:00:00Z,38,25,0,57
126,2020-12-19T00:00:00Z,43,30,0,70
127,2020-12-20T00:00:00Z,39,30,0,68
128,2020-12-21T00:00:00Z,32,28,0,56
129,2020-12-22T00:00:00Z,29,26,0,52
