,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,49,106,6,200
1,2020-08-13T00:00:00Z,50,111,6,200
2,2020-08-14T00:00:00Z,52,108,5,200
3,2020-08-15T00:00:00Z,53,107,2,200
4,2020-08-16T00:00:00Z,61,105,2,200
5,2020-08-17T00:00:00Z,56,113,5,200
6,2020-08-18T00:00:00Z,52,107,5,200
7,2020-08-19T00:00:00Z,43,103,6,200
8,2020-08-20T00:00:00Z,40,97,4,200
9,2020-08-21T00:00:00Z,47,95,4,200
10,2020-08-22T00:00:00Z,50,98,5,200
11,2020-08-23T00:00:00Z,52,105,2,200
12,2020-08-24T00:00:00Z,59,113,3,200
13,2020-08-25T00:00:00Z,59,110,2,200
14,2020-08-26T00:00:00Z,48,116,5,200
15,2020-08-27T00:00:00Z,48,112,5,200
16,2020-08-28T00:00:00Z,58,111,4,200
17,2020-08-29T00:00:00Z,64,100,3,200
18,2020-08-30T00:00:00Z,60,93,4,200
19,2020-08-31T00:00:00Z,53,91,5,200
20,2020-09-01T00:00:00Z,52,98,4,200
21,2020-09-02T00:00:00Z,46,95,4,200
22,2020-09-03T00:00:00Z,46,100,3,200
23,2020-09-04T00:00:00Z,46,100,2,200
24,2020-09-05T00:00:00Z,43,107,4,200
25,2020-09-06T00:00:00Z,46,107,2,200
26,2020-09-07T00:00:00Z,54,108,4,200
27,2020-09-08T00:00:00Z,46,112,5,200
28,2020-09-09T00:00:00Z,38,116,4,200
29,2020-09-10T00:00:00Z,34,113,5,200
30,2020-09-11T00:00:00Z,36,119,2,200
31,2020-09-12T00:00:00Z,38,107,2,200
32,2020-09-13T00:00:00Z,37,101,2,200
33,2020-09-14T00:00:00Z,41,99,1,200
34,2020-09-15T00:00:00Z,36,102,3,200
35,2020-09-16T00:00:00Z,35,103,3,200
36,2020-09-17T00:00:00Z,27,107,3,200
37,2020-09-18T00:00:00Z,36,114,3,200
38,2020-09-19T00:00:00Z,43,113,3,200
39,2020-09-20T00:00:00Z,42,103,2,200
40,2020-09-21T00:00:00Z,49,110,1,200
41,2020-09-22T00:00:00Z,52,109,2,200
42,2020-09-23T00:00:00Z,49,105,2,200
43,2020-09-24T00:00:00Z,54,108,2,200
