,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,6,21,1,30
1,2020-08-13T00:00:00Z,7,26,1,35
2,2020-08-14T00:00:00Z,4,21,0,28
3,2020-08-15T00:00:00Z,3,24,0,32
4,2020-08-16T00:00:00Z,5,26,1,33
5,2020-08-17T00:00:00Z,6,32,3,38
6,2020-08-18T00:00:00Z,6,30,3,36
7,2020-08-19T00:00:00Z,5,31,3,37
8,2020-08-20T00:00:00Z,4,24,1,31
9,2020-08-21T00:00:00Z,4,20,1,25
10,2020-08-22T00:00:00Z,4,24,1,27
11,2020-08-23T00:00:00Z,3,24,0,27
12,2020-08-24T00:00:00Z,2,26,2,34
13,2020-08-25T00:00:00Z,1,20,1,28
14,2020-08-26T00:00:00Z,1,25,3,33
15,2020-08-27T00:00:00Z,1,23,3,33
16,2020-08-28T00:00:00Z,1,17,1,25
17,2020-08-29T00:00:00Z,0,9,0,16
18,2020-08-30T00:00:00Z,0,12,1,20
19,2020-08-31T00:00:00Z,0,14,2,24
20,2020-09-01T00:00:00Z,0,18,2,27
21,2020-09-02T00:00:00Z,0,22,2,32
22,2020-09-03T00:00:00Z,0,21,2,29
23,2020-09-04T00:00:00Z,0,15,1,22
24,2020-09-05T00:00:00Z,0,18,1,25
25,2020-09-06T00:00:00Z,1,23,0,30
26,2020-09-07T00:00:00Z,3,21,0,29
27,2020-09-08T00:00:00Z,3,23,1,29
28,2020-09-09T00:00:00Z,3,22,1,29
29,2020-09-10T00:00:00Z,3,21,1,26
30,2020-09-11T00:00:00Z,3,23,0,28
31,2020-09-12T00:00:00Z,1,18,0,24
32,2020-09-13T00:00:00Z,1,16,0,24
33,2020-09-14T00:00:00Z,4,17,0,24
34,2020-09-15T00:00:00Z,3,23,0,32
35,2020-09-16T00:00:00Z,3,20,0,30
36,2020-09-17T00:00:00Z,3,22,0,30
37,2020-09-18T00:00:00Z,3,23,0,29
38,2020-09-19T00:00:00Z,3,20,0,23
39,2020-09-20T00:00:00Z,1,20,0,24
40,2020-09-21T00:00:00Z,0,25,0,30
41,2020-09-22T00:00:00Z,1,23,0,29
42,2020-09-23T00:00:00Z,1,19,0,28
43,2020-09-24T00:00:00Z,2,21,0,26
44,2020-09-25T00:00:00Z,1,18,0,23
45,2020-09-26T00:00:00Z,1,17,0,23
46,2020-09-27T00:00:00Z,2,20,0,27
47,2020-09-28T00:00:00Z,2,27,0,36
48,2020-09-29T00:00:00Z,3,27,1,37
49,2020-09-30T00:00:00Z,3,26,1,34
50,2020-10-01T00:00:00Z,4,29,1,37
51,2020-10-02T00:00:00Z,2,23,1,29
52,2020-10-03T00:00:00Z,2,22,1,28
53,2020-10-04T00:00:00Z,3,18,1,22
54,2020-10-05T00:00:00Z,4,14,0,22
55,2020-10-06T00:00:00Z,3,18,0,28
56,2020-10-07T00:00:00Z,3,20,1,31
57,2020-10-08T00:00:00Z,3,17,1,26
58,2020-10-09T00:00:00Z,3,18,1,25
59,2020-10-10T00:00:00Z,3,13,1,19
60,2020-10-11T00:00:00Z,3,9,0,12
61,2020-10-12T00:00:00Z,0,12,0,16
62,2020-10-13T00:00:00Z,0,16,0,20
63,2020-10-14T00:00:00Z,0,17,0,23
64,2020-10-15T00:00:00Z,0,17,0,24
65,2020-10-16T00:00:00Z,0,17,0,23
66,2020-10-17T00:00:00Z,0,15,0,25
67,2020-10-18T00:00:00Z,0,15,0,21
68,2020-10-19T00:00:00Z,6,17,0,28
69,2020-10-20T00:00:00Z,6,19,0,29
70,2020-10-21T00:00:00Z,6,21,0,29
71,2020-10-22T00:00:00Z,6,19,0,27
72,2020-10-23T00:00:00Z,2,14,0,22
73,2020-10-24T00:00:00Z,3,13,0,20
74,2020-10-25T00:00:00Z,5,19,1,28
75,2020-10-26T00:00:00Z,6,19,1,26
76,2020-10-27T00:00:00Z,4,21,1,29
77,2020-10-29T00:00:00Z,4,20,1,32
78,2020-10-30T00:00:00Z,3,17,1,27
79,2020-10-31T00:00:00Z,4,20,1,29
80,2020-11-01T00:00:00Z,4,14,0,17
81,2020-11-02T00:00:00Z,6,19,0,23
82,2020-11-03T00:00:00Z,4,22,0,25
83,2020-11-04T00:00:00Z,4,23,0,25
84,2020-11-05T00:00:00Z,4,23,0,25
85,2020-11-06T00:00:00Z,4,23,0,25
86,2020-11-07T00:00:00Z,4,21,0,23
87,2020-11-08T00:00:00Z,6,22,0,24
88,2020-11-09T00:00:00Z,3,18,0,21
89,2020-11-10T00:00:00Z,3,15,0,18
90,2020-11-11T00:00:00Z,3,10,0,14
91,2020-11-12T00:00:00Z,3,8,0,12
92,2020-11-13T00:00:00Z,3,10,0,14
93,2020-11-14T00:00:00Z,3,8,0,13
94,2020-11-15T00:00:00Z,1,9,0,17
95,2020-11-16T00:00:00Z,0,11,0,19
96,2020-11-17T00:00:00Z,1,12,0,21
97,2020-11-18T00:00:00Z,1,12,0,21
98,2020-11-19T00:00:00Z,1,11,0,18
99,2020-11-20T00:00:00Z,1,11,0,19
100,2020-11-21T00:00:00Z,1,11,0,16
101,2020-11-23T00:00:00Z,0,8,0,16
102,2020-11-24T00:00:00Z,0,9,0,19
103,2020-11-25T00:00:00Z,0,10,0,17
104,2020-11-26T00:00:00Z,1,11,0,19
105,2020-11-27T00:00:00Z,1,10,0,16
106,2020-11-28T00:00:00Z,1,8,0,16
107,2020-11-29T00:00:00Z,1,7,0,19
108,2020-11-30T00:00:00Z,3,20,0,34
109,2020-12-01T00:00:00Z,3,20,1,36
110,2020-12-02T00:00:00Z,3,23,0,34
111,2020-12-03T00:00:00Z,3,26,1,38
112,2020-12-04T00:00:00Z,2,21,1,30
113,2020-12-05T00:00:00Z,0,16,1,24
114,2020-12-07T00:00:00Z,1,13,1,17
115,2020-12-08T00:00:00Z,3,13,1,20
116,2020-12-09T00:00:00Z,5,15,0,23
117,2020-12-10T00:00:00Z,4,14,0,22
