,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,47,115,31,200
1,2020-08-13T00:00:00Z,41,104,25,200
2,2020-08-14T00:00:00Z,62,113,20,200
3,2020-08-15T00:00:00Z,63,109,21,200
4,2020-08-16T00:00:00Z,63,114,24,200
5,2020-08-17T00:00:00Z,59,112,26,200
6,2020-08-18T00:00:00Z,51,109,23,200
7,2020-08-19T00:00:00Z,41,101,17,200
8,2020-08-20T00:00:00Z,39,99,19,200
9,2020-08-21T00:00:00Z,54,108,17,200
10,2020-08-22T00:00:00Z,67,117,14,200
11,2020-08-23T00:00:00Z,66,121,16,200
12,2020-08-24T00:00:00Z,70,125,20,200
13,2020-08-25T00:00:00Z,69,131,24,200
14,2020-08-26T00:00:00Z,53,125,27,200
15,2020-08-27T00:00:00Z,48,128,24,200
16,2020-08-28T00:00:00Z,64,122,15,200
17,2020-08-29T00:00:00Z,69,115,17,200
18,2020-08-30T00:00:00Z,67,112,16,200
19,2020-08-31T00:00:00Z,67,112,16,200
20,2020-09-01T00:00:00Z,56,109,18,200
21,2020-09-02T00:00:00Z,53,109,16,200
22,2020-09-03T00:00:00Z,40,110,21,200
23,2020-09-04T00:00:00Z,61,115,18,200
24,2020-09-05T00:00:00Z,59,115,19,200
25,2020-09-06T00:00:00Z,55,113,19,200
26,2020-09-07T00:00:00Z,60,116,17,200
27,2020-09-08T00:00:00Z,60,121,18,200
28,2020-09-09T00:00:00Z,52,121,20,200
29,2020-09-10T00:00:00Z,43,118,25,200
30,2020-09-11T00:00:00Z,38,119,25,200
31,2020-09-12T00:00:00Z,44,112,25,200
32,2020-09-13T00:00:00Z,49,115,27,200
33,2020-09-14T00:00:00Z,52,114,27,200
34,2020-09-15T00:00:00Z,43,119,24,200
35,2020-09-16T00:00:00Z,42,120,24,200
36,2020-09-17T00:00:00Z,26,115,29,200
37,2020-09-18T00:00:00Z,41,119,22,200
38,2020-09-19T00:00:00Z,44,113,24,200
39,2020-09-20T00:00:00Z,46,116,19,200
40,2020-09-21T00:00:00Z,51,116,22,200
41,2020-09-22T00:00:00Z,55,117,23,200
42,2020-09-23T00:00:00Z,40,111,28,200
43,2020-09-24T00:00:00Z,40,105,32,200
44,2020-09-25T00:00:00Z,68,117,28,200
45,2020-09-26T00:00:00Z,69,115,27,200
46,2020-09-27T00:00:00Z,73,115,32,200
47,2020-09-28T00:00:00Z,68,118,21,200
48,2020-09-29T00:00:00Z,59,115,23,200
49,2020-09-30T00:00:00Z,58,113,23,200
50,2020-10-01T00:00:00Z,37,107,21,200
51,2020-10-02T00:00:00Z,51,110,25,200
52,2020-10-03T00:00:00Z,51,109,28,200
53,2020-10-04T00:00:00Z,55,105,29,200
54,2020-10-05T00:00:00Z,47,114,29,200
55,2020-10-06T00:00:00Z,49,109,30,200
56,2020-10-07T00:00:00Z,44,110,29,200
57,2020-10-08T00:00:00Z,35,105,35,200
58,2020-10-09T00:00:00Z,52,113,30,200
59,2020-10-10T00:00:00Z,54,113,30,199
60,2020-10-11T00:00:00Z,62,114,31,200
61,2020-10-12T00:00:00Z,67,123,32,200
62,2020-10-13T00:00:00Z,69,119,26,200
63,2020-10-14T00:00:00Z,59,116,29,200
64,2020-10-15T00:00:00Z,44,112,27,200
65,2020-10-16T00:00:00Z,59,113,22,200
66,2020-10-17T00:00:00Z,52,109,21,200
67,2020-10-18T00:00:00Z,67,111,26,200
68,2020-10-19T00:00:00Z,68,118,24,200
69,2020-10-20T00:00:00Z,53,114,27,200
70,2020-10-21T00:00:00Z,40,111,26,200
71,2020-10-22T00:00:00Z,43,100,25,200
72,2020-10-23T00:00:00Z,61,104,22,200
73,2020-10-24T00:00:00Z,72,111,22,200
74,2020-10-25T00:00:00Z,66,110,20,200
75,2020-10-26T00:00:00Z,62,116,19,200
76,2020-10-27T00:00:00Z,55,113,22,200
77,2020-10-29T00:00:00Z,35,122,28,200
78,2020-10-30T00:00:00Z,46,121,26,200
79,2020-10-31T00:00:00Z,51,117,25,200
80,2020-11-01T00:00:00Z,52,116,22,200
81,2020-11-02T00:00:00Z,51,122,23,200
82,2020-11-03T00:00:00Z,53,119,25,200
83,2020-11-04T00:00:00Z,47,117,26,200
84,2020-11-05T00:00:00Z,42,116,24,200
85,2020-11-06T00:00:00Z,50,118,24,200
86,2020-11-07T00:00:00Z,46,124,26,200
87,2020-11-08T00:00:00Z,51,124,19,200
88,2020-11-09T00:00:00Z,55,131,25,200
89,2020-11-10T00:00:00Z,59,127,27,200
90,2020-11-11T00:00:00Z,50,128,19,200
91,2020-11-12T00:00:00Z,37,125,26,200
92,2020-11-13T00:00:00Z,45,120,23,200
93,2020-11-14T00:00:00Z,53,122,27,200
94,2020-11-15T00:00:00Z,60,121,22,200
95,2020-11-16T00:00:00Z,59,120,23,200
96,2020-11-17T00:00:00Z,50,115,22,200
97,2020-11-18T00:00:00Z,37,107,23,200
98,2020-11-19T00:00:00Z,35,101,20,200
99,2020-11-20T00:00:00Z,54,104,12,200
100,2020-11-21T00:00:00Z,56,101,17,200
101,2020-11-23T00:00:00Z,68,101,14,200
102,2020-11-24T00:00:00Z,55,102,21,200
103,2020-11-25T00:00:00Z,54,111,24,200
104,2020-11-26T00:00:00Z,41,99,26,200
105,2020-11-27T00:00:00Z,53,107,24,200
106,2020-11-28T00:00:00Z,49,111,28,200
107,2020-11-29T00:00:00Z,58,106,25,200
108,2020-11-30T00:00:00Z,52,112,27,200
109,2020-12-01T00:00:00Z,49,109,24,200
110,2020-12-02T00:00:00Z,40,104,27,200
111,2020-12-03T00:00:00Z,32,104,26,200
