,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-09-15T00:00:00Z,0,1,0,1
1,2020-09-16T00:00:00Z,0,1,0,1
2,2020-09-17T00:00:00Z,0,1,0,1
3,2020-10-21T00:00:00Z,1,1,0,1
4,2020-10-22T00:00:00Z,1,1,0,1
5,2020-10-23T00:00:00Z,1,1,0,1
6,2020-10-27T00:00:00Z,0,0,0,1
7,2020-10-29T00:00:00Z,0,0,0,1
8,2020-12-04T00:00:00Z,0,0,0,2
9,2020-12-05T00:00:00Z,0,0,0,2
10,2020-12-07T00:00:00Z,0,0,0,2
11,2020-12-19T00:00:00Z,0,0,1,1
12,2020-12-20T00:00:00Z,0,0,1,1
13,2020-12-21T00:00:00Z,0,0,1,1
14,2020-12-22T00:00:00Z,0,0,1,1
15,2021-01-05T00:00:00Z,0,1,0,1
16,2021-01-06T00:00:00Z,0,1,0,1
17,2021-01-07T00:00:00Z,0,1,0,1
18,2021-01-08T00:00:00Z,0,1,0,1
19,2021-01-09T00:00:00Z,0,1,0,1
20,2021-01-29T00:00:00Z,0,0,0,2
21,2021-01-30T00:00:00Z,0,0,0,1
22,2021-01-31T00:00:00Z,0,0,0,2
23,2021-02-01T00:00:00Z,0,0,0,2
24,2021-02-16T00:00:00Z,0,0,0,1
25,2021-02-17T00:00:00Z,0,0,0,1
26,2021-02-18T00:00:00Z,0,0,0,1
27,2021-02-19T00:00:00Z,0,0,0,1
28,2021-03-03T00:00:00Z,0,1,0,1
29,2021-03-04T00:00:00Z,0,1,0,1
30,2021-03-05T00:00:00Z,0,2,0,2
31,2021-03-06T00:00:00Z,0,2,0,2
32,2021-03-07T00:00:00Z,0,1,0,1
33,2021-03-08T00:00:00Z,0,1,0,1
34,2021-04-16T00:00:00Z,0,0,0,1
35,2021-04-17T00:00:00Z,0,0,0,1
36,2021-04-18T00:00:00Z,0,0,0,1
37,2021-04-19T00:00:00Z,0,0,0,1
38,2021-05-01T00:00:00Z,0,1,0,1
39,2021-05-02T00:00:00Z,0,1,0,1
40,2021-05-03T00:00:00Z,0,1,0,1
41,2021-05-04T00:00:00Z,0,1,0,1
42,2021-05-05T00:00:00Z,0,1,0,1
43,2021-06-30T00:00:00Z,0,0,0,1
44,2021-07-01T00:00:00Z,0,0,0,1
45,2021-07-02T00:00:00Z,0,0,0,1
46,2021-08-04T00:00:00Z,0,1,0,1
47,2021-08-05T00:00:00Z,0,1,0,1
48,2021-08-06T00:00:00Z,0,1,0,1
49,2021-08-07T00:00:00Z,0,1,0,1
50,2021-09-14T00:00:00Z,0,1,1,1
51,2021-09-15T00:00:00Z,0,1,1,1
52,2021-09-16T00:00:00Z,0,1,1,1
53,2021-09-17T00:00:00Z,0,1,1,1
54,2021-09-21T00:00:00Z,1,1,0,1
55,2021-09-22T00:00:00Z,1,2,0,2
56,2021-09-23T00:00:00Z,1,2,0,2
57,2021-09-24T00:00:00Z,1,2,0,2
58,2021-09-25T00:00:00Z,0,1,0,1
59,2021-09-27T00:00:00Z,1,3,0,3
60,2021-09-28T00:00:00Z,1,2,0,2
61,2021-09-29T00:00:00Z,1,2,0,2
