,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,71,134,16,200
1,2020-08-13T00:00:00Z,73,137,18,200
2,2020-08-14T00:00:00Z,88,132,15,200
3,2020-08-15T00:00:00Z,97,130,12,199
4,2020-08-16T00:00:00Z,93,125,14,200
5,2020-08-17T00:00:00Z,86,131,15,200
6,2020-08-18T00:00:00Z,77,131,20,200
7,2020-08-19T00:00:00Z,72,129,20,200
8,2020-08-20T00:00:00Z,62,134,22,200
9,2020-08-21T00:00:00Z,63,136,17,200
10,2020-08-22T00:00:00Z,71,124,13,200
11,2020-08-23T00:00:00Z,70,125,11,200
12,2020-08-24T00:00:00Z,71,127,10,200
13,2020-08-25T00:00:00Z,67,129,13,200
14,2020-08-26T00:00:00Z,66,122,14,200
15,2020-08-27T00:00:00Z,68,125,18,200
16,2020-08-28T00:00:00Z,78,121,16,200
17,2020-08-29T00:00:00Z,81,116,17,200
18,2020-08-30T00:00:00Z,80,114,14,200
19,2020-08-31T00:00:00Z,79,114,14,200
20,2020-09-01T00:00:00Z,67,134,13,200
21,2020-09-02T00:00:00Z,67,135,16,200
22,2020-09-03T00:00:00Z,62,138,12,200
23,2020-09-04T00:00:00Z,66,130,11,200
24,2020-09-05T00:00:00Z,74,118,8,200
25,2020-09-06T00:00:00Z,80,115,8,200
26,2020-09-07T00:00:00Z,80,118,9,200
27,2020-09-08T00:00:00Z,75,128,15,200
28,2020-09-09T00:00:00Z,69,127,15,200
29,2020-09-10T00:00:00Z,71,125,15,200
30,2020-09-11T00:00:00Z,66,121,14,200
31,2020-09-12T00:00:00Z,75,119,9,200
32,2020-09-13T00:00:00Z,71,116,9,200
33,2020-09-14T00:00:00Z,72,126,10,200
34,2020-09-15T00:00:00Z,70,126,10,200
35,2020-09-16T00:00:00Z,68,126,13,200
36,2020-09-17T00:00:00Z,74,128,15,200
37,2020-09-18T00:00:00Z,83,121,17,200
38,2020-09-19T00:00:00Z,88,119,17,200
39,2020-09-20T00:00:00Z,81,110,16,200
40,2020-09-21T00:00:00Z,77,112,17,200
41,2020-09-22T00:00:00Z,77,111,16,200
42,2020-09-23T00:00:00Z,71,121,13,200
43,2020-09-24T00:00:00Z,65,123,15,200
44,2020-09-25T00:00:00Z,71,122,10,200
45,2020-09-26T00:00:00Z,71,126,8,200
46,2020-09-27T00:00:00Z,73,125,11,200
47,2020-09-28T00:00:00Z,68,126,12,200
48,2020-09-29T00:00:00Z,61,118,13,200
49,2020-09-30T00:00:00Z,65,116,11,200
50,2020-10-01T00:00:00Z,61,109,10,200
51,2020-10-02T00:00:00Z,65,108,11,199
52,2020-10-03T00:00:00Z,79,97,9,200
53,2020-10-04T00:00:00Z,84,97,9,200
54,2020-10-05T00:00:00Z,77,103,9,200
55,2020-10-06T00:00:00Z,76,113,10,200
56,2020-10-07T00:00:00Z,71,121,15,200
57,2020-10-08T00:00:00Z,71,131,16,200
58,2020-10-09T00:00:00Z,78,128,13,200
59,2020-10-10T00:00:00Z,83,127,13,200
60,2020-10-11T00:00:00Z,87,124,11,200
61,2020-10-12T00:00:00Z,83,123,8,200
62,2020-10-13T00:00:00Z,82,122,10,200
63,2020-10-14T00:00:00Z,74,111,10,200
64,2020-10-15T00:00:00Z,73,112,9,200
65,2020-10-16T00:00:00Z,79,116,9,200
66,2020-10-17T00:00:00Z,85,107,9,200
67,2020-10-18T00:00:00Z,81,109,14,200
68,2020-10-19T00:00:00Z,78,108,13,200
69,2020-10-20T00:00:00Z,74,113,13,200
70,2020-10-21T00:00:00Z,72,108,15,200
71,2020-10-22T00:00:00Z,71,110,15,200
72,2020-10-23T00:00:00Z,76,113,13,200
73,2020-10-24T00:00:00Z,83,98,7,200
74,2020-10-25T00:00:00Z,87,100,4,200
75,2020-10-26T00:00:00Z,80,106,8,200
76,2020-10-27T00:00:00Z,79,112,13,200
77,2020-10-29T00:00:00Z,71,122,15,200
78,2020-10-30T00:00:00Z,75,123,15,200
79,2020-10-31T00:00:00Z,85,124,11,200
80,2020-11-01T00:00:00Z,81,119,12,200
81,2020-11-02T00:00:00Z,76,127,15,200
82,2020-11-03T00:00:00Z,71,122,16,200
83,2020-11-04T00:00:00Z,67,119,18,200
84,2020-11-05T00:00:00Z,68,122,22,200
85,2020-11-06T00:00:00Z,78,123,15,200
86,2020-11-07T00:00:00Z,85,124,14,200
87,2020-11-08T00:00:00Z,85,124,13,200
88,2020-11-09T00:00:00Z,86,133,11,200
89,2020-11-10T00:00:00Z,84,129,12,200
90,2020-11-11T00:00:00Z,80,123,11,200
91,2020-11-12T00:00:00Z,76,123,11,200
92,2020-11-13T00:00:00Z,76,124,15,199
93,2020-11-14T00:00:00Z,81,118,14,200
94,2020-11-15T00:00:00Z,80,117,13,200
95,2020-11-16T00:00:00Z,79,122,12,200
96,2020-11-17T00:00:00Z,77,119,12,200
97,2020-11-18T00:00:00Z,74,117,11,200
98,2020-11-19T00:00:00Z,72,117,9,200
99,2020-11-20T00:00:00Z,71,109,11,200
100,2020-11-21T00:00:00Z,77,109,9,200
101,2020-11-23T00:00:00Z,76,112,8,199
102,2020-11-24T00:00:00Z,83,111,9,200
103,2020-11-25T00:00:00Z,72,114,8,200
104,2020-11-26T00:00:00Z,73,114,8,200
105,2020-11-27T00:00:00Z,64,117,6,200
106,2020-11-28T00:00:00Z,76,114,7,200
107,2020-11-29T00:00:00Z,86,113,6,200
108,2020-11-30T00:00:00Z,74,111,7,200
109,2020-12-01T00:00:00Z,76,119,11,200
110,2020-12-02T00:00:00Z,63,118,16,200
111,2020-12-03T00:00:00Z,57,118,19,200
112,2020-12-04T00:00:00Z,65,120,17,200
113,2020-12-05T00:00:00Z,65,116,13,200
114,2020-12-07T00:00:00Z,80,119,11,200
115,2020-12-08T00:00:00Z,79,121,12,200
116,2020-12-09T00:00:00Z,74,131,17,200
117,2020-12-10T00:00:00Z,66,125,21,200
118,2020-12-11T00:00:00Z,69,117,21,200
119,2020-12-12T00:00:00Z,68,110,19,200
120,2020-12-13T00:00:00Z,70,115,16,200
121,2020-12-14T00:00:00Z,75,118,14,200
122,2020-12-15T00:00:00Z,78,116,12,200
123,2020-12-16T00:00:00Z,72,115,11,200
124,2020-12-17T00:00:00Z,78,114,12,200
125,2020-12-18T00:00:00Z,73,117,13,199
126,2020-12-19T00:00:00Z,86,114,10,200
127,2020-12-20T00:00:00Z,86,110,10,200
128,2020-12-21T00:00:00Z,85,119,15,200
129,2020-12-22T00:00:00Z,82,118,14,200
130,2020-12-23T00:00:00Z,84,118,16,200
131,2020-12-24T00:00:00Z,83,122,16,200
132,2020-12-25T00:00:00Z,82,116,16,200
133,2020-12-26T00:00:00Z,87,117,19,200
134,2020-12-27T00:00:00Z,81,115,21,200
135,2020-12-28T00:00:00Z,79,117,19,200
136,2020-12-29T00:00:00Z,75,121,17,199
137,2020-12-31T00:00:00Z,65,125,16,200
138,2021-01-01T00:00:00Z,65,125,16,200
139,2021-01-02T00:00:00Z,63,122,13,200
140,2021-01-03T00:00:00Z,61,112,11,200
141,2021-01-04T00:00:00Z,60,112,15,200
142,2021-01-05T00:00:00Z,61,108,20,200
143,2021-01-06T00:00:00Z,58,107,20,200
144,2021-01-07T00:00:00Z,64,110,21,200
145,2021-01-08T00:00:00Z,66,109,18,200
146,2021-01-09T00:00:00Z,69,111,19,200
147,2021-01-10T00:00:00Z,74,111,15,200
148,2021-01-11T00:00:00Z,77,115,12,200
149,2021-01-12T00:00:00Z,75,123,11,200
150,2021-01-13T00:00:00Z,72,125,14,200
151,2021-01-14T00:00:00Z,70,125,16,200
152,2021-01-15T00:00:00Z,69,128,14,200
153,2021-01-16T00:00:00Z,78,118,13,200
154,2021-01-17T00:00:00Z,78,117,11,200
155,2021-01-18T00:00:00Z,82,126,10,200
156,2021-01-19T00:00:00Z,75,120,9,200
157,2021-01-20T00:00:00Z,71,119,14,200
158,2021-01-21T00:00:00Z,69,112,12,200
159,2021-01-22T00:00:00Z,65,111,9,200
160,2021-01-23T00:00:00Z,68,111,11,200
161,2021-01-24T00:00:00Z,73,104,11,200
162,2021-01-25T00:00:00Z,68,112,10,200
163,2021-01-26T00:00:00Z,71,114,10,200
164,2021-01-27T00:00:00Z,68,120,14,200
165,2021-01-28T00:00:00Z,66,124,14,200
166,2021-01-29T00:00:00Z,70,122,10,200
167,2021-01-30T00:00:00Z,83,116,9,200
168,2021-01-31T00:00:00Z,84,119,9,200
169,2021-02-01T00:00:00Z,77,120,12,200
170,2021-02-02T00:00:00Z,70,120,11,200
171,2021-02-03T00:00:00Z,58,124,14,200
172,2021-02-04T00:00:00Z,60,122,19,200
173,2021-02-05T00:00:00Z,75,124,15,200
174,2021-02-06T00:00:00Z,79,129,16,200
175,2021-02-07T00:00:00Z,83,132,10,200
176,2021-02-08T00:00:00Z,85,131,7,200
177,2021-02-09T00:00:00Z,80,128,4,200
178,2021-02-10T00:00:00Z,75,129,7,200
179,2021-02-11T00:00:00Z,64,126,8,200
180,2021-02-12T00:00:00Z,73,122,10,200
181,2021-02-13T00:00:00Z,88,120,10,200
182,2021-02-14T00:00:00Z,89,116,12,200
183,2021-02-15T00:00:00Z,94,120,13,200
184,2021-02-16T00:00:00Z,93,117,16,200
185,2021-02-17T00:00:00Z,88,121,18,200
186,2021-02-18T00:00:00Z,85,126,15,200
187,2021-02-19T00:00:00Z,83,121,15,200
188,2021-02-20T00:00:00Z,89,124,14,200
189,2021-02-21T00:00:00Z,81,115,14,200
190,2021-02-22T00:00:00Z,77,126,14,200
191,2021-02-24T00:00:00Z,144,262,24,400
192,2021-02-25T00:00:00Z,72,129,14,200
193,2021-02-26T00:00:00Z,84,124,16,200
194,2021-02-27T00:00:00Z,87,110,12,200
195,2021-03-01T00:00:00Z,79,117,11,200
196,2021-03-02T00:00:00Z,154,236,28,400
197,2021-03-03T00:00:00Z,75,120,14,200
198,2021-03-04T00:00:00Z,76,129,17,200
199,2021-03-05T00:00:00Z,74,123,22,200
200,2021-03-06T00:00:00Z,85,122,21,200
201,2021-03-07T00:00:00Z,92,120,17,200
202,2021-03-08T00:00:00Z,92,114,16,200
203,2021-03-09T00:00:00Z,81,109,15,200
204,2021-03-10T00:00:00Z,78,111,13,200
205,2021-03-11T00:00:00Z,65,111,13,200
206,2021-03-12T00:00:00Z,68,112,16,200
207,2021-03-13T00:00:00Z,68,108,16,200
208,2021-03-14T00:00:00Z,80,115,11,200
209,2021-03-15T00:00:00Z,72,121,12,200
210,2021-03-16T00:00:00Z,81,121,18,200
211,2021-03-17T00:00:00Z,85,123,20,200
212,2021-03-18T00:00:00Z,91,127,18,200
213,2021-03-19T00:00:00Z,95,127,17,200
214,2021-03-20T00:00:00Z,94,129,18,200
215,2021-03-21T00:00:00Z,94,132,17,200
216,2021-03-22T00:00:00Z,89,136,15,200
217,2021-03-23T00:00:00Z,78,134,16,200
218,2021-03-24T00:00:00Z,74,126,17,200
219,2021-03-25T00:00:00Z,68,123,13,200
220,2021-03-26T00:00:00Z,71,121,12,200
221,2021-03-27T00:00:00Z,79,118,13,200
222,2021-03-28T00:00:00Z,85,115,12,200
223,2021-03-29T00:00:00Z,81,121,14,200
224,2021-03-30T00:00:00Z,74,120,15,200
225,2021-03-31T00:00:00Z,73,117,19,200
226,2021-04-01T00:00:00Z,70,122,21,200
227,2021-04-02T00:00:00Z,71,123,20,200
228,2021-04-03T00:00:00Z,76,128,20,200
229,2021-04-04T00:00:00Z,82,130,22,200
230,2021-04-05T00:00:00Z,83,139,21,200
231,2021-04-06T00:00:00Z,92,145,16,200
232,2021-04-07T00:00:00Z,86,137,18,200
233,2021-04-08T00:00:00Z,78,136,23,200
234,2021-04-09T00:00:00Z,78,129,22,200
235,2021-04-10T00:00:00Z,73,120,21,200
236,2021-04-11T00:00:00Z,71,124,20,200
237,2021-04-12T00:00:00Z,71,134,24,200
238,2021-04-13T00:00:00Z,77,144,19,199
239,2021-04-14T00:00:00Z,82,156,25,200
240,2021-04-15T00:00:00Z,85,160,26,200
241,2021-04-16T00:00:00Z,90,147,24,200
242,2021-04-17T00:00:00Z,87,143,22,200
243,2021-04-18T00:00:00Z,82,134,23,200
244,2021-04-19T00:00:00Z,79,133,25,200
245,2021-04-20T00:00:00Z,81,130,26,200
246,2021-04-21T00:00:00Z,79,129,27,200
247,2021-04-22T00:00:00Z,72,134,31,200
248,2021-04-23T00:00:00Z,76,132,29,200
249,2021-04-24T00:00:00Z,79,129,26,200
250,2021-04-25T00:00:00Z,76,126,26,200
251,2021-04-26T00:00:00Z,76,129,26,200
252,2021-04-27T00:00:00Z,72,126,25,200
253,2021-04-28T00:00:00Z,76,129,29,200
254,2021-04-29T00:00:00Z,64,140,28,200
255,2021-04-30T00:00:00Z,69,133,25,200
256,2021-05-01T00:00:00Z,76,129,23,200
257,2021-05-02T00:00:00Z,75,135,22,200
258,2021-05-03T00:00:00Z,72,139,20,200
259,2021-05-04T00:00:00Z,72,141,17,200
260,2021-05-05T00:00:00Z,72,140,20,200
261,2021-05-06T00:00:00Z,70,143,18,200
262,2021-05-07T00:00:00Z,68,140,19,200
263,2021-05-08T00:00:00Z,75,139,18,200
264,2021-05-09T00:00:00Z,74,126,19,200
265,2021-05-10T00:00:00Z,79,132,20,200
266,2021-05-11T00:00:00Z,75,126,22,200
267,2021-05-12T00:00:00Z,78,130,21,200
268,2021-05-13T00:00:00Z,79,134,20,200
269,2021-05-14T00:00:00Z,93,131,16,200
270,2021-05-15T00:00:00Z,98,127,13,200
271,2021-05-16T00:00:00Z,98,126,16,200
272,2021-05-17T00:00:00Z,92,126,16,200
273,2021-05-18T00:00:00Z,80,123,16,200
274,2021-05-19T00:00:00Z,75,123,18,200
275,2021-05-20T00:00:00Z,73,131,19,200
276,2021-05-21T00:00:00Z,78,139,19,200
277,2021-05-22T00:00:00Z,85,138,19,200
278,2021-05-23T00:00:00Z,88,136,15,200
279,2021-05-30T00:00:00Z,86,130,16,200
280,2021-05-31T00:00:00Z,167,265,35,400
281,2021-06-01T00:00:00Z,162,266,30,400
282,2021-06-02T00:00:00Z,147,263,31,400
283,2021-06-03T00:00:00Z,143,270,42,400
284,2021-06-04T00:00:00Z,145,278,44,400
285,2021-06-05T00:00:00Z,158,268,46,400
286,2021-06-06T00:00:00Z,174,258,48,400
287,2021-06-07T00:00:00Z,175,268,48,400
288,2021-06-08T00:00:00Z,165,261,46,400
289,2021-06-09T00:00:00Z,166,257,42,400
290,2021-06-10T00:00:00Z,164,263,39,400
291,2021-06-11T00:00:00Z,155,258,34,400
292,2021-06-12T00:00:00Z,177,248,31,400
293,2021-06-13T00:00:00Z,183,235,24,400
294,2021-06-14T00:00:00Z,182,232,27,400
295,2021-06-15T00:00:00Z,175,241,33,400
296,2021-06-16T00:00:00Z,166,238,34,400
297,2021-06-17T00:00:00Z,165,242,34,400
298,2021-06-19T00:00:00Z,77,128,21,200
299,2021-06-20T00:00:00Z,85,127,24,200
300,2021-06-21T00:00:00Z,79,131,22,200
301,2021-06-22T00:00:00Z,79,125,19,200
302,2021-06-23T00:00:00Z,77,126,16,200
303,2021-06-24T00:00:00Z,77,137,16,200
304,2021-06-25T00:00:00Z,80,137,11,200
305,2021-06-27T00:00:00Z,88,133,10,200
306,2021-06-28T00:00:00Z,82,132,9,200
307,2021-06-29T00:00:00Z,91,134,11,200
308,2021-06-30T00:00:00Z,80,127,11,200
309,2021-07-01T00:00:00Z,73,132,14,200
310,2021-07-02T00:00:00Z,80,124,17,200
311,2021-07-03T00:00:00Z,84,121,21,200
312,2021-07-04T00:00:00Z,90,122,21,200
313,2021-07-05T00:00:00Z,82,124,28,200
314,2021-07-06T00:00:00Z,86,120,31,200
315,2021-07-07T00:00:00Z,83,122,33,200
316,2021-07-08T00:00:00Z,80,118,32,200
317,2021-07-09T00:00:00Z,76,120,32,200
318,2021-07-10T00:00:00Z,81,120,29,200
319,2021-07-11T00:00:00Z,90,117,26,200
320,2021-07-12T00:00:00Z,85,115,27,200
321,2021-07-13T00:00:00Z,82,116,25,200
322,2021-07-14T00:00:00Z,88,111,21,200
323,2021-07-15T00:00:00Z,88,119,18,200
324,2021-07-16T00:00:00Z,88,121,18,200
325,2021-07-17T00:00:00Z,83,124,12,200
326,2021-07-18T00:00:00Z,85,118,9,200
327,2021-07-19T00:00:00Z,89,118,7,200
328,2021-07-20T00:00:00Z,89,126,12,200
329,2021-07-21T00:00:00Z,86,121,16,200
330,2021-07-22T00:00:00Z,88,127,20,200
