,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,3,12,1,16
1,2020-08-13T00:00:00Z,3,11,1,14
2,2020-08-14T00:00:00Z,3,10,1,14
3,2020-08-15T00:00:00Z,4,12,0,15
4,2020-08-16T00:00:00Z,4,9,0,14
5,2020-08-17T00:00:00Z,5,9,0,12
6,2020-08-18T00:00:00Z,6,9,0,13
7,2020-08-19T00:00:00Z,6,8,0,13
8,2020-08-20T00:00:00Z,5,7,0,12
9,2020-08-21T00:00:00Z,5,8,0,12
10,2020-08-22T00:00:00Z,6,11,0,15
11,2020-08-23T00:00:00Z,4,11,0,15
12,2020-08-24T00:00:00Z,5,13,1,17
13,2020-08-25T00:00:00Z,4,10,1,16
14,2020-08-26T00:00:00Z,6,10,1,17
15,2020-08-27T00:00:00Z,5,10,1,18
16,2020-08-28T00:00:00Z,6,12,1,19
17,2020-08-29T00:00:00Z,6,12,1,23
18,2020-08-30T00:00:00Z,5,9,0,19
19,2020-08-31T00:00:00Z,5,9,0,18
20,2020-09-01T00:00:00Z,7,13,0,19
21,2020-09-02T00:00:00Z,7,11,0,17
22,2020-09-03T00:00:00Z,5,13,0,19
23,2020-09-04T00:00:00Z,3,11,0,18
24,2020-09-05T00:00:00Z,2,10,0,18
25,2020-09-06T00:00:00Z,2,10,0,17
26,2020-09-07T00:00:00Z,5,10,0,19
27,2020-09-08T00:00:00Z,6,10,0,18
28,2020-09-09T00:00:00Z,7,14,0,21
29,2020-09-10T00:00:00Z,8,16,0,25
30,2020-09-11T00:00:00Z,7,15,0,25
31,2020-09-12T00:00:00Z,7,14,0,24
32,2020-09-13T00:00:00Z,7,16,0,27
33,2020-09-14T00:00:00Z,8,16,0,24
34,2020-09-15T00:00:00Z,10,14,0,24
35,2020-09-16T00:00:00Z,9,15,1,24
36,2020-09-17T00:00:00Z,9,14,1,24
37,2020-09-18T00:00:00Z,8,13,1,21
38,2020-09-19T00:00:00Z,7,13,1,22
39,2020-09-20T00:00:00Z,7,15,1,22
40,2020-09-21T00:00:00Z,9,15,1,23
41,2020-09-22T00:00:00Z,8,14,1,21
42,2020-09-23T00:00:00Z,10,19,1,26
43,2020-09-24T00:00:00Z,10,17,1,26
44,2020-09-25T00:00:00Z,7,16,0,25
45,2020-09-26T00:00:00Z,8,16,0,25
46,2020-09-27T00:00:00Z,5,16,0,20
47,2020-09-28T00:00:00Z,5,18,1,22
48,2020-09-29T00:00:00Z,5,18,1,19
49,2020-09-30T00:00:00Z,7,20,1,23
50,2020-10-01T00:00:00Z,9,19,1,24
51,2020-10-02T00:00:00Z,9,17,1,24
52,2020-10-03T00:00:00Z,11,16,0,25
53,2020-10-04T00:00:00Z,8,18,1,26
54,2020-10-05T00:00:00Z,6,16,1,22
55,2020-10-06T00:00:00Z,8,19,3,24
56,2020-10-07T00:00:00Z,6,18,3,20
57,2020-10-08T00:00:00Z,9,21,3,25
58,2020-10-09T00:00:00Z,6,15,0,21
59,2020-10-10T00:00:00Z,6,15,0,21
60,2020-10-11T00:00:00Z,5,12,0,21
61,2020-10-12T00:00:00Z,6,16,1,26
62,2020-10-13T00:00:00Z,6,14,2,26
63,2020-10-14T00:00:00Z,7,15,1,27
64,2020-10-15T00:00:00Z,8,18,1,29
65,2020-10-16T00:00:00Z,8,17,0,29
66,2020-10-17T00:00:00Z,7,17,0,28
67,2020-10-18T00:00:00Z,5,17,0,26
68,2020-10-19T00:00:00Z,6,17,0,26
69,2020-10-20T00:00:00Z,6,17,0,25
70,2020-10-21T00:00:00Z,6,19,0,28
71,2020-10-22T00:00:00Z,5,15,0,21
72,2020-10-23T00:00:00Z,5,16,0,22
73,2020-10-24T00:00:00Z,5,15,0,20
74,2020-10-25T00:00:00Z,6,13,0,17
75,2020-10-26T00:00:00Z,7,20,0,25
76,2020-10-27T00:00:00Z,7,18,0,26
77,2020-10-29T00:00:00Z,9,16,0,24
78,2020-10-30T00:00:00Z,10,17,0,25
79,2020-10-31T00:00:00Z,8,15,0,22
80,2020-11-01T00:00:00Z,8,16,1,24
81,2020-11-02T00:00:00Z,6,22,2,28
82,2020-11-03T00:00:00Z,6,25,2,32
83,2020-11-04T00:00:00Z,6,26,2,30
84,2020-11-05T00:00:00Z,4,21,1,24
85,2020-11-06T00:00:00Z,5,19,1,22
86,2020-11-07T00:00:00Z,6,16,2,17
87,2020-11-08T00:00:00Z,7,16,2,19
88,2020-11-09T00:00:00Z,10,18,1,22
89,2020-11-10T00:00:00Z,11,19,1,24
90,2020-11-11T00:00:00Z,11,18,1,21
91,2020-11-12T00:00:00Z,11,19,1,24
92,2020-11-13T00:00:00Z,8,17,1,19
93,2020-11-14T00:00:00Z,7,18,0,21
94,2020-11-15T00:00:00Z,8,18,0,22
95,2020-11-16T00:00:00Z,9,20,0,26
96,2020-11-17T00:00:00Z,9,18,0,25
97,2020-11-18T00:00:00Z,6,13,0,21
98,2020-11-19T00:00:00Z,7,14,0,21
99,2020-11-20T00:00:00Z,6,12,0,19
100,2020-11-21T00:00:00Z,5,11,0,17
101,2020-11-23T00:00:00Z,5,18,0,24
102,2020-11-24T00:00:00Z,5,19,0,26
103,2020-11-25T00:00:00Z,5,18,0,24
104,2020-11-26T00:00:00Z,5,15,0,22
105,2020-11-27T00:00:00Z,8,18,0,27
106,2020-11-28T00:00:00Z,9,17,0,23
107,2020-11-29T00:00:00Z,10,14,0,19
108,2020-11-30T00:00:00Z,10,17,0,24
109,2020-12-01T00:00:00Z,10,16,0,24
110,2020-12-02T00:00:00Z,4,12,1,20
111,2020-12-03T00:00:00Z,3,10,1,22
112,2020-12-04T00:00:00Z,4,8,0,19
113,2020-12-05T00:00:00Z,5,7,0,16
114,2020-12-07T00:00:00Z,9,15,0,25
115,2020-12-08T00:00:00Z,9,16,1,26
116,2020-12-09T00:00:00Z,8,15,1,27
117,2020-12-10T00:00:00Z,9,18,1,33
118,2020-12-11T00:00:00Z,8,18,2,29
119,2020-12-12T00:00:00Z,7,14,3,23
120,2020-12-13T00:00:00Z,7,17,3,25
121,2020-12-14T00:00:00Z,7,20,2,26
122,2020-12-15T00:00:00Z,9,22,1,31
123,2020-12-16T00:00:00Z,6,19,1,29
124,2020-12-17T00:00:00Z,6,18,1,27
125,2020-12-18T00:00:00Z,6,19,1,28
126,2020-12-19T00:00:00Z,7,14,0,24
127,2020-12-20T00:00:00Z,7,13,0,24
128,2020-12-21T00:00:00Z,7,15,0,23
129,2020-12-22T00:00:00Z,6,12,0,21
130,2020-12-23T00:00:00Z,5,13,0,24
131,2020-12-24T00:00:00Z,4,15,0,27
132,2020-12-25T00:00:00Z,5,14,0,25
133,2020-12-26T00:00:00Z,8,17,0,29
134,2020-12-27T00:00:00Z,9,20,1,31
135,2020-12-28T00:00:00Z,10,22,1,33
136,2020-12-29T00:00:00Z,10,22,1,32
137,2020-12-31T00:00:00Z,13,27,1,33
138,2021-01-01T00:00:00Z,13,27,1,33
139,2021-01-02T00:00:00Z,13,26,1,30
140,2021-01-03T00:00:00Z,11,28,2,36
141,2021-01-04T00:00:00Z,10,24,1,32
142,2021-01-05T00:00:00Z,8,17,1,25
143,2021-01-06T00:00:00Z,7,16,1,24
144,2021-01-07T00:00:00Z,5,13,2,20
