,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,44,105,6,200
1,2020-08-13T00:00:00Z,36,109,5,200
2,2020-08-14T00:00:00Z,43,108,3,200
3,2020-08-15T00:00:00Z,49,104,2,200
4,2020-08-16T00:00:00Z,51,109,3,200
5,2020-08-17T00:00:00Z,50,113,5,200
6,2020-08-18T00:00:00Z,44,105,9,200
7,2020-08-19T00:00:00Z,38,106,9,200
8,2020-08-20T00:00:00Z,35,100,7,200
9,2020-08-21T00:00:00Z,44,96,7,200
10,2020-08-22T00:00:00Z,43,98,7,199
11,2020-08-23T00:00:00Z,52,100,2,200
12,2020-08-24T00:00:00Z,50,111,3,200
13,2020-08-25T00:00:00Z,51,116,3,200
14,2020-08-26T00:00:00Z,37,121,5,200
15,2020-08-27T00:00:00Z,33,118,8,200
16,2020-08-28T00:00:00Z,40,108,10,200
17,2020-08-29T00:00:00Z,43,100,9,200
18,2020-08-30T00:00:00Z,44,98,9,200
19,2020-08-31T00:00:00Z,43,98,9,200
20,2020-09-01T00:00:00Z,38,97,11,200
21,2020-09-02T00:00:00Z,39,99,8,200
22,2020-09-03T00:00:00Z,42,102,7,200
23,2020-09-04T00:00:00Z,39,102,6,200
24,2020-09-05T00:00:00Z,34,100,4,200
25,2020-09-06T00:00:00Z,42,101,5,200
26,2020-09-07T00:00:00Z,41,108,6,200
27,2020-09-08T00:00:00Z,35,113,9,200
28,2020-09-09T00:00:00Z,32,119,5,200
29,2020-09-10T00:00:00Z,29,118,7,200
30,2020-09-11T00:00:00Z,31,120,6,200
31,2020-09-12T00:00:00Z,37,111,6,200
32,2020-09-13T00:00:00Z,38,108,4,200
33,2020-09-14T00:00:00Z,35,104,4,200
34,2020-09-15T00:00:00Z,33,103,5,200
35,2020-09-16T00:00:00Z,28,96,5,200
36,2020-09-17T00:00:00Z,21,101,6,200
37,2020-09-18T00:00:00Z,31,101,7,200
38,2020-09-19T00:00:00Z,34,100,6,200
39,2020-09-20T00:00:00Z,43,104,3,200
40,2020-09-21T00:00:00Z,47,105,4,200
41,2020-09-22T00:00:00Z,52,100,4,200
42,2020-09-23T00:00:00Z,45,96,4,200
43,2020-09-24T00:00:00Z,38,97,3,200
44,2020-09-25T00:00:00Z,52,100,5,200
45,2020-09-26T00:00:00Z,55,93,5,200
46,2020-09-27T00:00:00Z,58,101,5,200
47,2020-09-28T00:00:00Z,55,107,4,200
48,2020-09-29T00:00:00Z,46,110,5,200
49,2020-09-30T00:00:00Z,45,103,4,200
50,2020-10-01T00:00:00Z,35,102,5,200
51,2020-10-02T00:00:00Z,33,96,3,200
52,2020-10-03T00:00:00Z,36,104,2,200
53,2020-10-04T00:00:00Z,42,94,2,200
54,2020-10-05T00:00:00Z,45,100,3,200
55,2020-10-06T00:00:00Z,45,105,4,200
56,2020-10-07T00:00:00Z,42,106,5,200
57,2020-10-08T00:00:00Z,37,108,7,200
58,2020-10-09T00:00:00Z,46,106,6,200
59,2020-10-10T00:00:00Z,48,112,6,199
60,2020-10-11T00:00:00Z,51,108,6,200
61,2020-10-12T00:00:00Z,54,116,6,200
62,2020-10-13T00:00:00Z,54,113,6,200
63,2020-10-14T00:00:00Z,42,102,7,200
64,2020-10-15T00:00:00Z,37,94,4,200
65,2020-10-16T00:00:00Z,41,105,5,200
66,2020-10-17T00:00:00Z,41,104,5,200
67,2020-10-18T00:00:00Z,49,112,7,200
68,2020-10-19T00:00:00Z,50,116,6,200
69,2020-10-20T00:00:00Z,50,118,6,200
70,2020-10-21T00:00:00Z,50,122,7,200
71,2020-10-22T00:00:00Z,45,116,5,200
72,2020-10-23T00:00:00Z,48,108,4,200
73,2020-10-24T00:00:00Z,51,107,3,200
74,2020-10-25T00:00:00Z,50,109,5,200
75,2020-10-26T00:00:00Z,47,112,7,200
76,2020-10-27T00:00:00Z,49,109,7,200
77,2020-10-29T00:00:00Z,52,114,9,200
78,2020-10-30T00:00:00Z,55,103,9,200
79,2020-10-31T00:00:00Z,55,107,8,200
80,2020-11-01T00:00:00Z,54,98,10,200
81,2020-11-02T00:00:00Z,49,106,10,200
82,2020-11-03T00:00:00Z,45,102,6,200
83,2020-11-04T00:00:00Z,36,107,6,200
84,2020-11-05T00:00:00Z,28,113,4,200
85,2020-11-06T00:00:00Z,30,109,3,200
86,2020-11-07T00:00:00Z,38,110,3,200
87,2020-11-08T00:00:00Z,32,112,6,200
88,2020-11-09T00:00:00Z,38,121,6,200
89,2020-11-10T00:00:00Z,40,119,9,200
90,2020-11-11T00:00:00Z,43,114,8,200
91,2020-11-12T00:00:00Z,36,110,7,200
92,2020-11-13T00:00:00Z,34,115,7,200
93,2020-11-14T00:00:00Z,37,114,7,200
94,2020-11-15T00:00:00Z,35,103,9,200
95,2020-11-16T00:00:00Z,32,103,8,200
96,2020-11-17T00:00:00Z,35,110,6,200
97,2020-11-18T00:00:00Z,29,111,6,200
98,2020-11-19T00:00:00Z,33,108,5,200
99,2020-11-20T00:00:00Z,39,97,3,200
100,2020-11-21T00:00:00Z,46,99,1,200
101,2020-11-23T00:00:00Z,53,96,4,200
102,2020-11-24T00:00:00Z,52,92,5,200
103,2020-11-25T00:00:00Z,54,97,6,200
104,2020-11-26T00:00:00Z,48,100,4,200
105,2020-11-27T00:00:00Z,45,95,3,200
106,2020-11-28T00:00:00Z,49,95,3,200
107,2020-11-29T00:00:00Z,45,111,3,200
108,2020-11-30T00:00:00Z,40,106,4,200
109,2020-12-01T00:00:00Z,35,103,3,200
110,2020-12-02T00:00:00Z,40,112,3,200
111,2020-12-03T00:00:00Z,38,116,2,200
112,2020-12-04T00:00:00Z,43,116,1,200
113,2020-12-05T00:00:00Z,51,108,2,200
114,2020-12-07T00:00:00Z,62,113,4,200
115,2020-12-08T00:00:00Z,60,114,7,200
116,2020-12-09T00:00:00Z,58,115,7,200
117,2020-12-10T00:00:00Z,51,118,9,200
118,2020-12-11T00:00:00Z,47,111,10,200
119,2020-12-12T00:00:00Z,50,106,11,200
120,2020-12-13T00:00:00Z,41,106,6,200
121,2020-12-14T00:00:00Z,45,103,7,200
122,2020-12-15T00:00:00Z,38,110,10,200
123,2020-12-16T00:00:00Z,34,109,10,200
124,2020-12-17T00:00:00Z,32,113,11,200
125,2020-12-18T00:00:00Z,30,112,12,199
126,2020-12-19T00:00:00Z,36,106,10,200
127,2020-12-20T00:00:00Z,33,108,11,200
128,2020-12-21T00:00:00Z,33,114,7,200
129,2020-12-22T00:00:00Z,33,112,9,200
130,2020-12-23T00:00:00Z,31,112,10,200
131,2020-12-24T00:00:00Z,27,118,8,200
132,2020-12-25T00:00:00Z,25,118,8,200
133,2020-12-26T00:00:00Z,31,116,5,200
134,2020-12-27T00:00:00Z,33,120,3,200
135,2020-12-28T00:00:00Z,36,118,3,200
136,2020-12-29T00:00:00Z,37,122,5,200
137,2020-12-31T00:00:00Z,36,117,5,200
138,2021-01-01T00:00:00Z,36,116,5,200
139,2021-01-02T00:00:00Z,37,115,7,200
140,2021-01-03T00:00:00Z,34,116,8,200
141,2021-01-04T00:00:00Z,28,118,11,200
142,2021-01-05T00:00:00Z,26,110,7,200
143,2021-01-06T00:00:00Z,27,116,4,200
144,2021-01-07T00:00:00Z,25,117,8,200
145,2021-01-08T00:00:00Z,31,119,6,200
146,2021-01-09T00:00:00Z,37,117,4,200
147,2021-01-10T00:00:00Z,35,112,5,200
148,2021-01-11T00:00:00Z,37,111,4,200
149,2021-01-12T00:00:00Z,40,111,4,200
150,2021-01-13T00:00:00Z,39,109,2,200
151,2021-01-14T00:00:00Z,34,114,3,200
152,2021-01-15T00:00:00Z,36,109,3,200
153,2021-01-16T00:00:00Z,39,107,4,200
154,2021-01-17T00:00:00Z,37,112,7,200
155,2021-01-18T00:00:00Z,35,117,7,200
156,2021-01-19T00:00:00Z,32,118,8,200
157,2021-01-20T00:00:00Z,32,121,9,200
158,2021-01-21T00:00:00Z,30,118,7,200
159,2021-01-22T00:00:00Z,32,115,7,200
160,2021-01-23T00:00:00Z,36,114,8,200
161,2021-01-24T00:00:00Z,35,112,5,200
162,2021-01-25T00:00:00Z,40,106,8,200
163,2021-01-26T00:00:00Z,41,110,8,200
164,2021-01-27T00:00:00Z,40,120,6,200
165,2021-01-28T00:00:00Z,31,120,5,200
166,2021-01-29T00:00:00Z,36,115,3,200
167,2021-01-30T00:00:00Z,37,113,3,200
168,2021-01-31T00:00:00Z,37,110,1,200
169,2021-02-01T00:00:00Z,34,107,4,200
170,2021-02-02T00:00:00Z,33,108,6,200
171,2021-02-03T00:00:00Z,32,113,8,200
172,2021-02-04T00:00:00Z,29,114,8,200
173,2021-02-05T00:00:00Z,33,114,9,200
174,2021-02-06T00:00:00Z,40,107,6,200
175,2021-02-07T00:00:00Z,44,116,6,200
176,2021-02-08T00:00:00Z,38,116,9,200
177,2021-02-09T00:00:00Z,38,119,9,200
178,2021-02-10T00:00:00Z,33,119,7,200
179,2021-02-11T00:00:00Z,33,113,8,200
180,2021-02-12T00:00:00Z,35,118,8,200
181,2021-02-13T00:00:00Z,41,116,6,200
182,2021-02-14T00:00:00Z,48,123,8,199
