,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,24,85,5,171
1,2020-08-13T00:00:00Z,30,97,8,177
2,2020-08-14T00:00:00Z,23,94,6,175
3,2020-08-15T00:00:00Z,22,87,7,174
4,2020-08-16T00:00:00Z,22,99,6,192
5,2020-08-17T00:00:00Z,25,99,8,194
6,2020-08-18T00:00:00Z,28,90,7,193
7,2020-08-19T00:00:00Z,28,91,5,200
8,2020-08-20T00:00:00Z,29,95,6,200
9,2020-08-21T00:00:00Z,28,92,6,200
10,2020-08-22T00:00:00Z,24,84,8,196
11,2020-08-23T00:00:00Z,28,92,9,200
12,2020-08-24T00:00:00Z,27,83,9,194
13,2020-08-25T00:00:00Z,31,92,13,199
14,2020-08-26T00:00:00Z,28,88,14,200
15,2020-08-27T00:00:00Z,28,92,12,200
16,2020-08-28T00:00:00Z,26,94,11,195
17,2020-08-29T00:00:00Z,24,93,8,191
18,2020-08-30T00:00:00Z,23,93,5,189
19,2020-08-31T00:00:00Z,22,89,7,181
20,2020-09-01T00:00:00Z,26,87,10,193
21,2020-09-02T00:00:00Z,23,89,9,182
22,2020-09-03T00:00:00Z,18,99,13,181
23,2020-09-04T00:00:00Z,22,107,13,195
24,2020-09-05T00:00:00Z,25,108,11,195
25,2020-09-06T00:00:00Z,23,103,11,194
26,2020-09-07T00:00:00Z,23,101,10,200
27,2020-09-08T00:00:00Z,20,100,16,193
28,2020-09-09T00:00:00Z,21,94,21,188
29,2020-09-10T00:00:00Z,17,91,22,186
30,2020-09-11T00:00:00Z,17,93,24,194
31,2020-09-12T00:00:00Z,19,87,21,194
32,2020-09-13T00:00:00Z,20,90,13,198
33,2020-09-14T00:00:00Z,21,96,12,200
34,2020-09-15T00:00:00Z,21,96,8,191
35,2020-09-16T00:00:00Z,21,98,10,198
36,2020-09-17T00:00:00Z,17,93,12,187
37,2020-09-18T00:00:00Z,21,91,12,178
38,2020-09-19T00:00:00Z,21,97,11,184
39,2020-09-20T00:00:00Z,24,97,10,194
40,2020-09-21T00:00:00Z,24,91,7,200
41,2020-09-22T00:00:00Z,28,93,11,200
42,2020-09-23T00:00:00Z,22,88,15,187
43,2020-09-24T00:00:00Z,22,97,12,196
44,2020-09-25T00:00:00Z,19,100,13,192
45,2020-09-26T00:00:00Z,23,107,7,200
46,2020-09-27T00:00:00Z,22,111,6,200
47,2020-09-28T00:00:00Z,20,110,6,200
48,2020-09-29T00:00:00Z,16,110,5,198
49,2020-09-30T00:00:00Z,14,104,5,194
50,2020-10-01T00:00:00Z,12,106,7,197
51,2020-10-02T00:00:00Z,15,93,9,180
52,2020-10-03T00:00:00Z,14,99,8,182
53,2020-10-04T00:00:00Z,13,86,9,169
54,2020-10-05T00:00:00Z,13,78,8,165
55,2020-10-06T00:00:00Z,14,85,9,178
56,2020-10-07T00:00:00Z,12,84,7,176
57,2020-10-08T00:00:00Z,14,92,11,179
58,2020-10-09T00:00:00Z,13,86,14,191
59,2020-10-10T00:00:00Z,15,93,12,192
60,2020-10-11T00:00:00Z,16,102,11,199
61,2020-10-12T00:00:00Z,12,94,11,200
62,2020-10-13T00:00:00Z,9,103,13,199
63,2020-10-14T00:00:00Z,14,104,11,196
64,2020-10-15T00:00:00Z,15,102,10,191
65,2020-10-16T00:00:00Z,21,100,11,192
66,2020-10-17T00:00:00Z,23,94,9,190
67,2020-10-18T00:00:00Z,22,92,9,200
68,2020-10-19T00:00:00Z,20,95,5,200
69,2020-10-20T00:00:00Z,20,91,9,200
70,2020-10-21T00:00:00Z,20,90,11,195
71,2020-10-22T00:00:00Z,26,95,13,198
72,2020-10-23T00:00:00Z,27,104,8,192
73,2020-10-24T00:00:00Z,22,90,7,165
74,2020-10-25T00:00:00Z,22,98,9,187
75,2020-10-26T00:00:00Z,26,102,10,197
76,2020-10-27T00:00:00Z,29,104,11,197
77,2020-10-29T00:00:00Z,26,94,17,200
78,2020-10-30T00:00:00Z,23,104,21,200
79,2020-10-31T00:00:00Z,25,98,18,200
80,2020-11-01T00:00:00Z,24,98,15,200
81,2020-11-02T00:00:00Z,23,99,13,200
82,2020-11-03T00:00:00Z,24,106,11,200
83,2020-11-04T00:00:00Z,21,104,15,200
84,2020-11-05T00:00:00Z,18,95,16,189
85,2020-11-06T00:00:00Z,19,91,15,178
86,2020-11-07T00:00:00Z,25,96,13,183
87,2020-11-08T00:00:00Z,26,94,17,181
88,2020-11-09T00:00:00Z,29,96,16,187
89,2020-11-10T00:00:00Z,25,86,14,171
90,2020-11-11T00:00:00Z,23,96,13,178
91,2020-11-12T00:00:00Z,19,88,12,173
92,2020-11-13T00:00:00Z,16,82,10,154
93,2020-11-14T00:00:00Z,20,90,10,164
94,2020-11-15T00:00:00Z,21,89,15,175
95,2020-11-16T00:00:00Z,18,87,19,189
96,2020-11-17T00:00:00Z,17,79,19,167
97,2020-11-18T00:00:00Z,20,92,21,189
98,2020-11-19T00:00:00Z,23,92,19,191
99,2020-11-20T00:00:00Z,31,98,13,189
100,2020-11-21T00:00:00Z,24,95,11,176
101,2020-11-23T00:00:00Z,23,85,12,173
102,2020-11-24T00:00:00Z,34,97,15,184
103,2020-11-25T00:00:00Z,26,92,14,176
104,2020-11-26T00:00:00Z,30,96,12,181
105,2020-11-27T00:00:00Z,29,88,14,189
106,2020-11-28T00:00:00Z,26,83,16,191
107,2020-11-29T00:00:00Z,22,86,18,200
108,2020-11-30T00:00:00Z,19,85,17,200
109,2020-12-01T00:00:00Z,14,97,16,198
110,2020-12-02T00:00:00Z,17,92,16,200
111,2020-12-03T00:00:00Z,16,91,14,200
112,2020-12-04T00:00:00Z,15,92,15,197
113,2020-12-05T00:00:00Z,14,103,15,200
114,2020-12-07T00:00:00Z,17,85,14,186
115,2020-12-08T00:00:00Z,16,84,11,181
116,2020-12-09T00:00:00Z,17,79,9,182
117,2020-12-10T00:00:00Z,15,72,8,172
118,2020-12-11T00:00:00Z,19,80,10,182
119,2020-12-12T00:00:00Z,17,78,12,184
120,2020-12-13T00:00:00Z,13,79,9,199
121,2020-12-14T00:00:00Z,12,75,10,187
122,2020-12-15T00:00:00Z,10,60,17,183
123,2020-12-16T00:00:00Z,10,79,21,200
124,2020-12-17T00:00:00Z,10,87,18,200
125,2020-12-18T00:00:00Z,11,96,17,196
126,2020-12-19T00:00:00Z,10,89,13,184
127,2020-12-20T00:00:00Z,11,90,17,187
128,2020-12-21T00:00:00Z,17,103,18,199
129,2020-12-22T00:00:00Z,21,94,14,200
130,2020-12-23T00:00:00Z,22,90,19,193
131,2020-12-24T00:00:00Z,15,102,18,195
132,2020-12-25T00:00:00Z,14,89,17,187
133,2020-12-26T00:00:00Z,12,85,12,181
134,2020-12-27T00:00:00Z,14,85,11,185
135,2020-12-28T00:00:00Z,15,95,13,200
136,2020-12-29T00:00:00Z,12,81,17,176
137,2020-12-31T00:00:00Z,14,59,12,139
138,2021-01-01T00:00:00Z,16,62,11,153
139,2021-01-02T00:00:00Z,15,69,14,165
140,2021-01-03T00:00:00Z,13,85,18,188
141,2021-01-04T00:00:00Z,13,91,18,187
142,2021-01-05T00:00:00Z,11,74,18,183
143,2021-01-06T00:00:00Z,11,84,22,188
144,2021-01-07T00:00:00Z,7,78,22,183
145,2021-01-08T00:00:00Z,8,82,22,189
146,2021-01-09T00:00:00Z,8,84,21,185
147,2021-01-10T00:00:00Z,11,85,23,195
148,2021-01-11T00:00:00Z,9,92,22,195
149,2021-01-12T00:00:00Z,8,86,16,185
150,2021-01-13T00:00:00Z,14,81,17,191
151,2021-01-14T00:00:00Z,15,88,15,197
152,2021-01-15T00:00:00Z,19,90,16,200
153,2021-01-16T00:00:00Z,19,91,22,200
154,2021-01-17T00:00:00Z,17,87,18,199
155,2021-01-18T00:00:00Z,18,90,20,197
156,2021-01-19T00:00:00Z,17,89,20,190
157,2021-01-20T00:00:00Z,17,85,17,198
158,2021-01-21T00:00:00Z,21,83,15,200
159,2021-01-22T00:00:00Z,15,87,14,198
160,2021-01-23T00:00:00Z,12,83,13,186
161,2021-01-24T00:00:00Z,13,93,14,197
162,2021-01-25T00:00:00Z,13,94,13,198
163,2021-01-26T00:00:00Z,10,74,16,166
164,2021-01-27T00:00:00Z,14,71,17,161
165,2021-01-28T00:00:00Z,11,68,16,150
166,2021-01-29T00:00:00Z,13,70,12,152
167,2021-01-30T00:00:00Z,13,72,10,154
168,2021-01-31T00:00:00Z,12,75,9,163
169,2021-02-01T00:00:00Z,11,68,8,154
170,2021-02-02T00:00:00Z,14,74,9,159
171,2021-02-03T00:00:00Z,10,69,15,149
172,2021-02-04T00:00:00Z,13,67,17,150
173,2021-02-05T00:00:00Z,12,65,21,150
174,2021-02-06T00:00:00Z,10,69,22,157
175,2021-02-07T00:00:00Z,14,64,15,166
176,2021-02-08T00:00:00Z,18,77,16,178
177,2021-02-09T00:00:00Z,14,74,14,169
178,2021-02-10T00:00:00Z,14,69,12,167
179,2021-02-11T00:00:00Z,21,72,12,181
180,2021-02-12T00:00:00Z,27,71,12,180
181,2021-02-13T00:00:00Z,29,71,12,194
182,2021-02-14T00:00:00Z,26,81,13,192
183,2021-02-15T00:00:00Z,25,84,16,194
184,2021-02-16T00:00:00Z,22,79,16,176
185,2021-02-17T00:00:00Z,19,86,18,182
186,2021-02-18T00:00:00Z,13,84,14,181
187,2021-02-19T00:00:00Z,15,76,15,183
188,2021-02-20T00:00:00Z,16,90,16,200
189,2021-02-21T00:00:00Z,18,84,20,200
190,2021-02-22T00:00:00Z,16,95,19,200
191,2021-02-24T00:00:00Z,30,172,24,350
192,2021-02-25T00:00:00Z,15,99,8,199
193,2021-02-26T00:00:00Z,17,92,9,200
194,2021-02-27T00:00:00Z,20,87,10,200
195,2021-03-01T00:00:00Z,17,86,15,200
196,2021-03-02T00:00:00Z,36,167,35,398
197,2021-03-03T00:00:00Z,17,84,17,182
198,2021-03-04T00:00:00Z,19,87,24,197
199,2021-03-05T00:00:00Z,22,91,19,190
200,2021-03-06T00:00:00Z,20,89,16,188
201,2021-03-07T00:00:00Z,21,85,13,186
202,2021-03-08T00:00:00Z,24,85,18,190
203,2021-03-09T00:00:00Z,22,85,21,183
