,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,1,28,2,57
1,2020-08-13T00:00:00Z,2,34,2,66
2,2020-08-14T00:00:00Z,1,41,2,72
3,2020-08-15T00:00:00Z,2,38,2,69
4,2020-08-16T00:00:00Z,2,39,1,74
5,2020-08-17T00:00:00Z,5,37,3,71
6,2020-08-18T00:00:00Z,6,31,3,72
7,2020-08-19T00:00:00Z,5,34,2,79
8,2020-08-20T00:00:00Z,4,34,2,72
9,2020-08-21T00:00:00Z,4,38,2,73
10,2020-08-22T00:00:00Z,2,38,2,73
11,2020-08-23T00:00:00Z,4,43,2,83
12,2020-08-24T00:00:00Z,4,42,3,79
13,2020-08-25T00:00:00Z,4,44,5,76
14,2020-08-26T00:00:00Z,5,40,3,78
15,2020-08-27T00:00:00Z,5,41,3,82
16,2020-08-28T00:00:00Z,4,40,2,76
17,2020-08-29T00:00:00Z,3,38,1,66
18,2020-08-30T00:00:00Z,1,33,0,64
19,2020-08-31T00:00:00Z,3,34,1,62
20,2020-09-01T00:00:00Z,3,32,1,67
21,2020-09-02T00:00:00Z,3,36,2,71
22,2020-09-03T00:00:00Z,0,41,1,68
23,2020-09-04T00:00:00Z,0,43,1,73
24,2020-09-05T00:00:00Z,0,37,1,65
25,2020-09-06T00:00:00Z,0,34,2,64
26,2020-09-07T00:00:00Z,2,36,2,73
27,2020-09-08T00:00:00Z,2,39,5,80
28,2020-09-09T00:00:00Z,2,37,6,78
29,2020-09-10T00:00:00Z,2,36,7,80
30,2020-09-11T00:00:00Z,1,38,8,82
31,2020-09-12T00:00:00Z,0,32,7,77
32,2020-09-13T00:00:00Z,1,31,4,76
33,2020-09-14T00:00:00Z,3,32,2,77
34,2020-09-15T00:00:00Z,3,35,3,73
35,2020-09-16T00:00:00Z,3,35,2,70
36,2020-09-17T00:00:00Z,2,31,2,69
37,2020-09-18T00:00:00Z,3,27,3,63
38,2020-09-19T00:00:00Z,3,35,3,70
39,2020-09-20T00:00:00Z,2,34,3,72
40,2020-09-21T00:00:00Z,0,30,2,72
41,2020-09-22T00:00:00Z,3,32,3,73
42,2020-09-23T00:00:00Z,3,44,4,79
43,2020-09-24T00:00:00Z,3,47,3,84
44,2020-09-25T00:00:00Z,3,45,5,86
45,2020-09-26T00:00:00Z,2,43,1,85
46,2020-09-27T00:00:00Z,0,39,2,77
47,2020-09-28T00:00:00Z,1,38,1,77
48,2020-09-29T00:00:00Z,2,39,2,76
49,2020-09-30T00:00:00Z,2,43,2,81
50,2020-10-01T00:00:00Z,2,52,3,94
51,2020-10-02T00:00:00Z,2,47,3,90
52,2020-10-03T00:00:00Z,2,42,3,87
53,2020-10-04T00:00:00Z,1,32,4,78
54,2020-10-05T00:00:00Z,2,34,5,80
55,2020-10-06T00:00:00Z,0,38,6,85
56,2020-10-07T00:00:00Z,0,41,5,85
57,2020-10-08T00:00:00Z,0,47,6,87
58,2020-10-09T00:00:00Z,0,43,5,87
59,2020-10-10T00:00:00Z,0,44,6,86
60,2020-10-11T00:00:00Z,0,52,3,93
61,2020-10-12T00:00:00Z,0,42,2,85
62,2020-10-13T00:00:00Z,0,47,1,88
63,2020-10-14T00:00:00Z,3,46,2,85
64,2020-10-15T00:00:00Z,4,52,1,93
65,2020-10-16T00:00:00Z,5,45,2,88
66,2020-10-17T00:00:00Z,5,35,1,76
67,2020-10-18T00:00:00Z,6,37,3,83
68,2020-10-19T00:00:00Z,6,40,3,77
69,2020-10-20T00:00:00Z,7,44,3,90
70,2020-10-21T00:00:00Z,5,39,3,81
71,2020-10-22T00:00:00Z,8,44,5,82
72,2020-10-23T00:00:00Z,7,58,4,91
73,2020-10-24T00:00:00Z,5,48,2,76
74,2020-10-25T00:00:00Z,4,49,2,85
75,2020-10-26T00:00:00Z,4,48,1,88
76,2020-10-27T00:00:00Z,2,42,1,75
77,2020-10-29T00:00:00Z,3,37,4,78
78,2020-10-30T00:00:00Z,3,42,5,81
79,2020-10-31T00:00:00Z,5,40,5,81
80,2020-11-01T00:00:00Z,4,37,5,81
81,2020-11-02T00:00:00Z,5,44,4,84
82,2020-11-03T00:00:00Z,4,46,2,84
83,2020-11-04T00:00:00Z,3,44,2,86
84,2020-11-05T00:00:00Z,2,35,2,73
85,2020-11-06T00:00:00Z,0,30,2,62
86,2020-11-07T00:00:00Z,2,27,2,61
87,2020-11-08T00:00:00Z,1,28,3,56
88,2020-11-09T00:00:00Z,4,31,5,65
89,2020-11-10T00:00:00Z,3,32,4,63
90,2020-11-11T00:00:00Z,2,35,5,60
91,2020-11-12T00:00:00Z,1,33,2,56
92,2020-11-13T00:00:00Z,1,32,2,52
93,2020-11-14T00:00:00Z,2,35,3,58
94,2020-11-15T00:00:00Z,2,38,4,68
95,2020-11-16T00:00:00Z,1,36,6,74
96,2020-11-17T00:00:00Z,0,33,5,66
97,2020-11-18T00:00:00Z,1,46,6,82
98,2020-11-19T00:00:00Z,2,41,4,85
99,2020-11-20T00:00:00Z,2,35,3,79
100,2020-11-21T00:00:00Z,2,34,2,75
101,2020-11-23T00:00:00Z,4,32,3,73
102,2020-11-24T00:00:00Z,5,41,6,81
103,2020-11-25T00:00:00Z,3,35,6,70
104,2020-11-26T00:00:00Z,2,38,5,68
105,2020-11-27T00:00:00Z,2,41,7,78
106,2020-11-28T00:00:00Z,5,38,6,80
107,2020-11-29T00:00:00Z,5,35,7,84
108,2020-11-30T00:00:00Z,4,36,6,85
109,2020-12-01T00:00:00Z,5,47,6,93
110,2020-12-02T00:00:00Z,4,41,4,91
111,2020-12-03T00:00:00Z,2,39,5,90
112,2020-12-04T00:00:00Z,1,44,5,90
113,2020-12-05T00:00:00Z,1,35,5,75
114,2020-12-07T00:00:00Z,3,36,3,72
115,2020-12-08T00:00:00Z,4,37,3,69
116,2020-12-09T00:00:00Z,4,31,2,67
117,2020-12-10T00:00:00Z,1,25,2,65
118,2020-12-11T00:00:00Z,2,28,2,74
119,2020-12-12T00:00:00Z,3,25,3,69
120,2020-12-13T00:00:00Z,1,27,4,78
121,2020-12-14T00:00:00Z,1,28,4,75
122,2020-12-15T00:00:00Z,1,18,7,75
123,2020-12-16T00:00:00Z,0,27,9,86
124,2020-12-17T00:00:00Z,0,30,7,84
125,2020-12-18T00:00:00Z,2,37,6,89
126,2020-12-19T00:00:00Z,1,32,4,80
127,2020-12-20T00:00:00Z,2,33,4,79
128,2020-12-21T00:00:00Z,1,40,8,78
129,2020-12-22T00:00:00Z,2,34,5,79
130,2020-12-23T00:00:00Z,3,29,5,75
131,2020-12-24T00:00:00Z,4,40,6,86
132,2020-12-25T00:00:00Z,3,38,9,91
133,2020-12-26T00:00:00Z,1,40,7,82
134,2020-12-27T00:00:00Z,1,41,5,79
135,2020-12-28T00:00:00Z,1,44,5,82
136,2020-12-29T00:00:00Z,1,36,5,76
137,2020-12-31T00:00:00Z,3,24,5,64
138,2021-01-01T00:00:00Z,4,22,5,69
139,2021-01-02T00:00:00Z,5,25,6,72
140,2021-01-03T00:00:00Z,4,31,6,84
141,2021-01-04T00:00:00Z,3,36,8,86
142,2021-01-05T00:00:00Z,2,26,8,81
143,2021-01-06T00:00:00Z,0,32,7,84
144,2021-01-07T00:00:00Z,0,31,7,85
145,2021-01-08T00:00:00Z,0,36,8,88
146,2021-01-09T00:00:00Z,0,31,7,75
147,2021-01-10T00:00:00Z,0,32,8,75
148,2021-01-11T00:00:00Z,0,35,5,72
149,2021-01-12T00:00:00Z,0,32,4,69
150,2021-01-13T00:00:00Z,1,31,7,75
151,2021-01-14T00:00:00Z,1,32,5,75
152,2021-01-15T00:00:00Z,1,31,6,77
153,2021-01-16T00:00:00Z,1,32,9,79
154,2021-01-17T00:00:00Z,0,30,7,84
155,2021-01-18T00:00:00Z,1,32,7,82
156,2021-01-19T00:00:00Z,1,30,6,73
157,2021-01-20T00:00:00Z,0,29,4,76
158,2021-01-21T00:00:00Z,0,25,4,73
159,2021-01-22T00:00:00Z,0,25,5,71
160,2021-01-23T00:00:00Z,0,27,4,74
161,2021-01-24T00:00:00Z,1,28,3,75
162,2021-01-25T00:00:00Z,1,29,4,76
163,2021-01-26T00:00:00Z,1,23,7,64
164,2021-01-27T00:00:00Z,1,26,8,68
165,2021-01-28T00:00:00Z,1,25,9,64
166,2021-01-29T00:00:00Z,1,27,7,70
167,2021-01-30T00:00:00Z,0,23,5,70
168,2021-01-31T00:00:00Z,0,27,5,76
169,2021-02-01T00:00:00Z,0,26,4,72
170,2021-02-02T00:00:00Z,1,33,3,71
171,2021-02-03T00:00:00Z,1,30,7,62
172,2021-02-04T00:00:00Z,1,28,7,62
173,2021-02-05T00:00:00Z,1,21,8,51
174,2021-02-06T00:00:00Z,0,23,7,59
175,2021-02-07T00:00:00Z,1,20,4,62
176,2021-02-08T00:00:00Z,1,25,2,69
177,2021-02-09T00:00:00Z,2,23,2,66
178,2021-02-10T00:00:00Z,2,23,3,72
179,2021-02-11T00:00:00Z,2,26,5,73
180,2021-02-12T00:00:00Z,3,24,5,70
181,2021-02-13T00:00:00Z,3,29,6,79
182,2021-02-14T00:00:00Z,1,34,8,83
183,2021-02-15T00:00:00Z,4,39,9,85
184,2021-02-16T00:00:00Z,4,37,7,79
185,2021-02-17T00:00:00Z,5,39,5,85
186,2021-02-18T00:00:00Z,5,40,4,91
187,2021-02-19T00:00:00Z,4,28,3,78
188,2021-02-20T00:00:00Z,3,35,3,89
189,2021-02-21T00:00:00Z,2,35,6,91
190,2021-02-22T00:00:00Z,4,39,6,88
191,2021-02-24T00:00:00Z,4,74,4,142
192,2021-02-25T00:00:00Z,1,36,1,80
193,2021-02-26T00:00:00Z,0,31,1,83
194,2021-02-27T00:00:00Z,0,27,4,84
195,2021-03-01T00:00:00Z,0,25,6,75
196,2021-03-02T00:00:00Z,0,64,14,157
197,2021-03-03T00:00:00Z,0,36,6,79
198,2021-03-04T00:00:00Z,2,32,5,78
199,2021-03-05T00:00:00Z,2,31,5,71
200,2021-03-06T00:00:00Z,3,24,4,64
201,2021-03-07T00:00:00Z,3,21,2,63
202,2021-03-08T00:00:00Z,4,22,2,64
203,2021-03-09T00:00:00Z,6,23,4,59
204,2021-03-10T00:00:00Z,5,25,2,56
205,2021-03-11T00:00:00Z,1,24,2,57
206,2021-03-12T00:00:00Z,1,28,4,68
207,2021-03-13T00:00:00Z,2,25,3,62
208,2021-03-14T00:00:00Z,1,24,2,70
209,2021-03-15T00:00:00Z,1,26,1,70
210,2021-03-16T00:00:00Z,1,28,2,77
211,2021-03-17T00:00:00Z,0,29,3,77
212,2021-03-18T00:00:00Z,1,26,2,72
213,2021-03-19T00:00:00Z,2,26,2,75
214,2021-03-20T00:00:00Z,2,22,4,71
215,2021-03-21T00:00:00Z,0,33,4,76
216,2021-03-22T00:00:00Z,0,35,4,73
217,2021-03-23T00:00:00Z,1,30,4,65
218,2021-03-24T00:00:00Z,2,33,2,67
219,2021-03-25T00:00:00Z,2,36,2,71
220,2021-03-26T00:00:00Z,2,35,2,70
221,2021-03-27T00:00:00Z,1,40,3,79
222,2021-03-28T00:00:00Z,0,44,3,81
223,2021-03-29T00:00:00Z,0,42,3,84
224,2021-03-30T00:00:00Z,0,37,4,76
225,2021-03-31T00:00:00Z,1,38,3,79
226,2021-04-01T00:00:00Z,1,35,6,84
227,2021-04-02T00:00:00Z,0,32,6,80
228,2021-04-03T00:00:00Z,0,35,3,82
229,2021-04-04T00:00:00Z,1,37,6,85
230,2021-04-05T00:00:00Z,1,35,5,86
231,2021-04-06T00:00:00Z,4,40,4,74
232,2021-04-07T00:00:00Z,4,37,4,72
233,2021-04-08T00:00:00Z,3,39,2,80
234,2021-04-09T00:00:00Z,3,40,1,81
235,2021-04-10T00:00:00Z,3,39,4,83
236,2021-04-11T00:00:00Z,3,33,3,74
237,2021-04-12T00:00:00Z,2,35,6,88
238,2021-04-13T00:00:00Z,4,41,7,87
239,2021-04-14T00:00:00Z,5,37,8,84
240,2021-04-15T00:00:00Z,4,34,10,78
241,2021-04-16T00:00:00Z,3,36,10,78
242,2021-04-17T00:00:00Z,2,36,9,82
243,2021-04-18T00:00:00Z,2,34,9,78
244,2021-04-19T00:00:00Z,3,32,8,76
245,2021-04-20T00:00:00Z,1,28,6,69
246,2021-04-21T00:00:00Z,0,31,4,64
247,2021-04-22T00:00:00Z,0,36,7,70
248,2021-04-23T00:00:00Z,0,36,6,71
249,2021-04-24T00:00:00Z,0,34,7,73
250,2021-04-25T00:00:00Z,0,27,5,68
251,2021-04-26T00:00:00Z,0,26,4,71
252,2021-04-27T00:00:00Z,1,30,5,71
253,2021-04-28T00:00:00Z,1,32,5,66
254,2021-04-29T00:00:00Z,2,36,7,80
255,2021-04-30T00:00:00Z,1,38,5,77
256,2021-05-01T00:00:00Z,1,34,6,73
257,2021-05-02T00:00:00Z,2,28,6,64
258,2021-05-03T00:00:00Z,2,25,3,56
259,2021-05-04T00:00:00Z,1,20,4,51
260,2021-05-05T00:00:00Z,2,20,4,54
