,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,14,55,5,200
1,2020-08-13T00:00:00Z,15,55,8,200
2,2020-08-14T00:00:00Z,18,50,9,200
3,2020-08-15T00:00:00Z,14,56,10,200
4,2020-08-16T00:00:00Z,14,53,8,200
5,2020-08-17T00:00:00Z,17,51,10,200
6,2020-08-18T00:00:00Z,15,50,9,200
7,2020-08-19T00:00:00Z,16,50,5,200
8,2020-08-20T00:00:00Z,15,53,6,200
9,2020-08-21T00:00:00Z,12,58,4,200
10,2020-08-22T00:00:00Z,14,54,4,200
11,2020-08-23T00:00:00Z,15,53,4,200
12,2020-08-24T00:00:00Z,13,57,3,200
13,2020-08-25T00:00:00Z,18,60,4,200
14,2020-08-26T00:00:00Z,22,56,4,200
15,2020-08-27T00:00:00Z,25,57,7,200
16,2020-08-28T00:00:00Z,24,57,6,200
17,2020-08-29T00:00:00Z,32,53,6,200
18,2020-08-30T00:00:00Z,32,49,8,200
19,2020-08-31T00:00:00Z,27,45,7,200
20,2020-09-01T00:00:00Z,25,47,7,200
21,2020-09-02T00:00:00Z,25,52,6,200
22,2020-09-03T00:00:00Z,21,53,4,200
23,2020-09-04T00:00:00Z,22,53,4,200
24,2020-09-05T00:00:00Z,23,54,4,200
25,2020-09-06T00:00:00Z,19,54,4,200
26,2020-09-07T00:00:00Z,17,54,4,200
27,2020-09-08T00:00:00Z,16,52,2,200
28,2020-09-09T00:00:00Z,16,47,3,200
29,2020-09-10T00:00:00Z,16,47,2,200
30,2020-09-11T00:00:00Z,20,48,3,200
31,2020-09-12T00:00:00Z,17,38,3,197
32,2020-09-13T00:00:00Z,14,40,4,200
33,2020-09-14T00:00:00Z,14,40,5,200
34,2020-09-15T00:00:00Z,14,47,3,200
35,2020-09-16T00:00:00Z,14,47,5,200
36,2020-09-17T00:00:00Z,14,54,5,200
37,2020-09-18T00:00:00Z,13,53,6,200
38,2020-09-19T00:00:00Z,12,55,6,200
39,2020-09-20T00:00:00Z,15,54,6,200
40,2020-09-21T00:00:00Z,17,63,5,200
41,2020-09-22T00:00:00Z,16,59,5,200
42,2020-09-23T00:00:00Z,22,66,4,200
43,2020-09-24T00:00:00Z,21,63,5,200
44,2020-09-25T00:00:00Z,22,65,5,200
45,2020-09-26T00:00:00Z,21,64,4,200
46,2020-09-27T00:00:00Z,19,60,4,200
47,2020-09-28T00:00:00Z,20,65,3,200
48,2020-09-29T00:00:00Z,16,59,5,200
49,2020-09-30T00:00:00Z,18,60,6,200
50,2020-10-01T00:00:00Z,15,61,9,200
51,2020-10-02T00:00:00Z,12,60,7,200
52,2020-10-03T00:00:00Z,11,58,9,200
53,2020-10-04T00:00:00Z,11,55,11,200
54,2020-10-05T00:00:00Z,12,57,9,200
55,2020-10-06T00:00:00Z,15,58,9,200
56,2020-10-07T00:00:00Z,10,60,10,200
57,2020-10-08T00:00:00Z,15,57,10,200
58,2020-10-09T00:00:00Z,15,55,8,200
59,2020-10-10T00:00:00Z,18,62,6,200
60,2020-10-11T00:00:00Z,16,59,7,200
61,2020-10-12T00:00:00Z,16,60,7,200
62,2020-10-13T00:00:00Z,21,59,7,200
63,2020-10-14T00:00:00Z,15,51,7,200
64,2020-10-15T00:00:00Z,14,53,5,200
65,2020-10-16T00:00:00Z,17,59,6,200
66,2020-10-17T00:00:00Z,20,60,4,200
67,2020-10-18T00:00:00Z,17,55,4,200
68,2020-10-19T00:00:00Z,19,58,6,200
69,2020-10-20T00:00:00Z,18,58,8,200
70,2020-10-21T00:00:00Z,17,57,10,200
71,2020-10-22T00:00:00Z,19,64,9,200
72,2020-10-23T00:00:00Z,15,63,8,200
73,2020-10-24T00:00:00Z,23,65,9,200
74,2020-10-25T00:00:00Z,21,73,5,200
75,2020-10-26T00:00:00Z,22,76,4,200
76,2020-10-27T00:00:00Z,24,73,3,200
77,2020-10-29T00:00:00Z,19,64,3,200
78,2020-10-30T00:00:00Z,21,68,3,200
79,2020-10-31T00:00:00Z,14,60,3,200
80,2020-11-01T00:00:00Z,17,54,5,200
81,2020-11-02T00:00:00Z,15,55,5,200
82,2020-11-03T00:00:00Z,19,57,9,200
83,2020-11-04T00:00:00Z,26,60,10,200
84,2020-11-05T00:00:00Z,29,57,9,200
85,2020-11-06T00:00:00Z,29,59,14,200
86,2020-11-07T00:00:00Z,33,63,12,200
87,2020-11-08T00:00:00Z,27,58,11,200
88,2020-11-09T00:00:00Z,30,55,13,200
89,2020-11-10T00:00:00Z,28,55,15,200
90,2020-11-11T00:00:00Z,24,54,12,200
