,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,2,8,0,20
1,2020-08-13T00:00:00Z,2,8,0,20
2,2020-08-14T00:00:00Z,1,7,0,21
3,2020-08-15T00:00:00Z,1,7,0,23
4,2020-08-16T00:00:00Z,1,6,0,24
5,2020-08-17T00:00:00Z,1,4,0,26
6,2020-08-18T00:00:00Z,0,3,0,32
7,2020-08-19T00:00:00Z,0,3,0,31
8,2020-08-20T00:00:00Z,0,3,0,38
9,2020-08-21T00:00:00Z,0,5,0,42
10,2020-08-22T00:00:00Z,0,7,0,43
11,2020-08-23T00:00:00Z,0,4,1,37
12,2020-08-24T00:00:00Z,0,7,1,35
13,2020-08-25T00:00:00Z,0,9,2,39
14,2020-08-26T00:00:00Z,0,7,1,33
15,2020-08-27T00:00:00Z,0,8,2,32
16,2020-08-28T00:00:00Z,0,8,2,32
17,2020-08-29T00:00:00Z,0,8,2,35
18,2020-08-30T00:00:00Z,0,3,3,30
19,2020-08-31T00:00:00Z,0,5,2,30
20,2020-09-01T00:00:00Z,0,7,3,29
21,2020-09-02T00:00:00Z,0,4,2,20
22,2020-09-03T00:00:00Z,0,4,2,24
23,2020-09-04T00:00:00Z,1,6,2,23
24,2020-09-05T00:00:00Z,1,5,2,20
25,2020-09-06T00:00:00Z,1,7,3,27
26,2020-09-07T00:00:00Z,1,5,3,25
27,2020-09-08T00:00:00Z,1,4,1,26
28,2020-09-09T00:00:00Z,1,3,2,30
29,2020-09-10T00:00:00Z,1,4,2,33
30,2020-09-11T00:00:00Z,0,4,2,30
31,2020-09-12T00:00:00Z,0,5,2,34
32,2020-09-13T00:00:00Z,0,6,2,36
33,2020-09-14T00:00:00Z,0,5,2,32
34,2020-09-15T00:00:00Z,0,8,1,34
35,2020-09-16T00:00:00Z,0,5,1,29
36,2020-09-17T00:00:00Z,2,8,1,30
37,2020-09-18T00:00:00Z,1,8,1,26
38,2020-09-19T00:00:00Z,0,8,1,25
39,2020-09-20T00:00:00Z,1,7,1,26
