,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,69,50,8,134
1,2020-08-13T00:00:00Z,70,49,11,129
2,2020-08-14T00:00:00Z,70,43,12,131
3,2020-08-15T00:00:00Z,75,44,13,141
4,2020-08-16T00:00:00Z,81,42,13,150
5,2020-08-17T00:00:00Z,78,38,10,141
6,2020-08-18T00:00:00Z,68,36,11,139
7,2020-08-19T00:00:00Z,77,39,8,139
8,2020-08-20T00:00:00Z,76,40,7,131
9,2020-08-21T00:00:00Z,79,47,9,135
10,2020-08-22T00:00:00Z,84,60,13,143
11,2020-08-23T00:00:00Z,76,56,11,134
12,2020-08-24T00:00:00Z,80,62,11,134
13,2020-08-25T00:00:00Z,77,62,10,133
14,2020-08-26T00:00:00Z,80,64,13,140
15,2020-08-27T00:00:00Z,91,69,14,157
16,2020-08-28T00:00:00Z,99,62,15,147
17,2020-08-29T00:00:00Z,89,61,11,134
18,2020-08-30T00:00:00Z,79,54,12,123
19,2020-08-31T00:00:00Z,79,57,11,131
20,2020-09-01T00:00:00Z,85,63,12,136
21,2020-09-02T00:00:00Z,84,68,10,143
22,2020-09-03T00:00:00Z,84,65,8,143
23,2020-09-04T00:00:00Z,82,55,14,140
24,2020-09-05T00:00:00Z,89,58,14,145
25,2020-09-06T00:00:00Z,86,51,13,141
26,2020-09-07T00:00:00Z,91,55,11,151
27,2020-09-08T00:00:00Z,97,59,10,157
28,2020-09-09T00:00:00Z,92,57,10,143
29,2020-09-10T00:00:00Z,95,61,9,148
30,2020-09-11T00:00:00Z,94,61,15,139
31,2020-09-12T00:00:00Z,98,64,16,143
32,2020-09-13T00:00:00Z,87,62,15,131
33,2020-09-14T00:00:00Z,93,72,21,143
34,2020-09-15T00:00:00Z,87,72,21,142
35,2020-09-16T00:00:00Z,85,70,17,144
36,2020-09-17T00:00:00Z,74,63,14,133
37,2020-09-18T00:00:00Z,78,71,15,132
38,2020-09-19T00:00:00Z,79,71,17,142
39,2020-09-20T00:00:00Z,74,69,14,140
40,2020-09-21T00:00:00Z,84,71,11,145
41,2020-09-22T00:00:00Z,70,67,10,139
42,2020-09-23T00:00:00Z,79,65,10,143
43,2020-09-24T00:00:00Z,85,65,12,140
44,2020-09-25T00:00:00Z,80,59,20,134
45,2020-09-26T00:00:00Z,91,62,21,146
46,2020-09-27T00:00:00Z,81,56,27,134
47,2020-09-28T00:00:00Z,83,63,21,147
48,2020-09-29T00:00:00Z,115,90,28,197
49,2020-09-30T00:00:00Z,115,91,30,200
50,2020-10-01T00:00:00Z,114,91,28,200
51,2020-10-02T00:00:00Z,112,95,32,200
52,2020-10-03T00:00:00Z,108,95,34,200
53,2020-10-04T00:00:00Z,98,88,28,200
54,2020-10-05T00:00:00Z,94,82,28,200
55,2020-10-06T00:00:00Z,90,79,25,200
56,2020-10-07T00:00:00Z,89,78,25,200
57,2020-10-08T00:00:00Z,87,74,25,200
58,2020-10-09T00:00:00Z,88,75,28,200
59,2020-10-10T00:00:00Z,98,70,26,200
60,2020-10-11T00:00:00Z,104,77,27,200
61,2020-10-12T00:00:00Z,101,83,28,200
62,2020-10-13T00:00:00Z,102,85,24,200
63,2020-10-14T00:00:00Z,97,83,22,200
64,2020-10-15T00:00:00Z,96,89,20,200
65,2020-10-16T00:00:00Z,95,87,21,200
66,2020-10-17T00:00:00Z,102,84,21,200
67,2020-10-18T00:00:00Z,92,78,24,200
68,2020-10-19T00:00:00Z,97,81,25,200
69,2020-10-20T00:00:00Z,99,80,25,200
70,2020-10-21T00:00:00Z,103,78,27,200
71,2020-10-22T00:00:00Z,107,79,27,200
72,2020-10-23T00:00:00Z,103,85,27,200
73,2020-10-24T00:00:00Z,104,85,28,200
74,2020-10-25T00:00:00Z,113,85,28,200
75,2020-10-26T00:00:00Z,105,85,21,200
76,2020-10-27T00:00:00Z,94,84,17,200
77,2020-10-29T00:00:00Z,95,75,16,200
