,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,3,0,0,6
1,2020-08-13T00:00:00Z,4,0,1,7
2,2020-08-14T00:00:00Z,3,0,0,6
3,2020-08-15T00:00:00Z,3,0,0,7
4,2020-08-16T00:00:00Z,4,0,0,8
5,2020-08-17T00:00:00Z,3,0,1,5
6,2020-08-18T00:00:00Z,4,0,1,6
7,2020-08-19T00:00:00Z,4,0,1,6
8,2020-08-20T00:00:00Z,2,0,1,4
9,2020-08-21T00:00:00Z,1,0,1,3
10,2020-08-22T00:00:00Z,2,2,1,4
11,2020-08-23T00:00:00Z,2,2,1,4
12,2020-08-24T00:00:00Z,3,3,1,5
13,2020-08-25T00:00:00Z,3,3,1,5
14,2020-08-26T00:00:00Z,3,4,2,6
15,2020-08-27T00:00:00Z,3,4,2,6
16,2020-08-28T00:00:00Z,5,4,2,6
17,2020-08-29T00:00:00Z,2,3,1,4
18,2020-08-30T00:00:00Z,2,2,1,5
19,2020-08-31T00:00:00Z,2,1,0,5
20,2020-09-01T00:00:00Z,3,2,0,6
21,2020-09-02T00:00:00Z,2,2,0,6
22,2020-09-03T00:00:00Z,3,2,0,5
23,2020-09-04T00:00:00Z,4,1,0,5
24,2020-09-05T00:00:00Z,3,0,0,4
25,2020-09-06T00:00:00Z,4,1,0,5
26,2020-09-07T00:00:00Z,4,1,0,5
27,2020-09-08T00:00:00Z,3,0,0,4
28,2020-09-09T00:00:00Z,2,0,0,3
29,2020-09-10T00:00:00Z,2,0,0,6
30,2020-09-11T00:00:00Z,0,0,0,3
31,2020-09-12T00:00:00Z,2,1,0,6
32,2020-09-13T00:00:00Z,2,2,0,5
33,2020-09-14T00:00:00Z,2,2,0,5
34,2020-09-15T00:00:00Z,3,3,0,6
35,2020-09-16T00:00:00Z,7,4,0,9
36,2020-09-17T00:00:00Z,6,3,0,8
37,2020-09-18T00:00:00Z,4,3,0,5
38,2020-09-19T00:00:00Z,4,3,0,5
39,2020-09-20T00:00:00Z,4,3,0,5
40,2020-09-21T00:00:00Z,3,2,0,5
41,2020-09-22T00:00:00Z,2,2,0,5
42,2020-09-23T00:00:00Z,3,2,0,6
43,2020-09-24T00:00:00Z,3,2,0,5
44,2020-09-25T00:00:00Z,1,0,0,2
45,2020-09-26T00:00:00Z,2,0,0,4
46,2020-09-27T00:00:00Z,2,0,1,4
47,2020-09-28T00:00:00Z,3,1,0,4
48,2020-09-29T00:00:00Z,4,1,0,5
49,2020-09-30T00:00:00Z,3,0,0,4
50,2020-10-01T00:00:00Z,4,0,0,5
51,2020-10-02T00:00:00Z,2,1,1,4
52,2020-10-03T00:00:00Z,2,2,2,6
