,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,39,130,25,200
1,2020-08-13T00:00:00Z,40,134,26,200
2,2020-08-14T00:00:00Z,46,130,24,200
3,2020-08-15T00:00:00Z,42,134,29,200
4,2020-08-16T00:00:00Z,39,135,31,200
5,2020-08-17T00:00:00Z,47,126,28,200
6,2020-08-18T00:00:00Z,52,126,28,200
7,2020-08-19T00:00:00Z,52,129,24,200
8,2020-08-20T00:00:00Z,54,127,25,200
9,2020-08-21T00:00:00Z,63,129,24,200
10,2020-08-23T00:00:00Z,59,134,28,200
11,2020-08-24T00:00:00Z,65,129,28,200
12,2020-08-25T00:00:00Z,60,135,27,200
13,2020-08-26T00:00:00Z,58,134,31,200
14,2020-08-27T00:00:00Z,61,131,38,200
15,2020-08-28T00:00:00Z,65,127,30,200
16,2020-08-29T00:00:00Z,58,125,32,200
17,2020-08-30T00:00:00Z,61,125,34,200
18,2020-08-31T00:00:00Z,67,118,30,200
19,2020-09-01T00:00:00Z,63,124,28,200
20,2020-09-02T00:00:00Z,58,124,25,200
21,2020-09-03T00:00:00Z,49,128,27,200
22,2020-09-04T00:00:00Z,48,133,24,200
23,2020-09-05T00:00:00Z,47,130,24,200
24,2020-09-06T00:00:00Z,57,123,21,200
25,2020-09-07T00:00:00Z,60,124,18,200
26,2020-09-08T00:00:00Z,54,129,19,200
27,2020-09-09T00:00:00Z,58,127,15,200
28,2020-09-10T00:00:00Z,58,128,18,200
29,2020-09-11T00:00:00Z,60,135,16,200
30,2020-09-12T00:00:00Z,57,128,14,200
31,2020-09-13T00:00:00Z,52,127,19,200
32,2020-09-14T00:00:00Z,59,129,18,200
33,2020-09-15T00:00:00Z,58,129,20,200
34,2020-09-16T00:00:00Z,60,128,26,200
35,2020-09-17T00:00:00Z,48,133,31,200
36,2020-09-18T00:00:00Z,48,131,32,200
37,2020-09-19T00:00:00Z,53,129,35,200
38,2020-09-20T00:00:00Z,46,131,36,200
39,2020-09-21T00:00:00Z,56,130,36,200
40,2020-09-22T00:00:00Z,60,136,30,200
41,2020-09-23T00:00:00Z,59,125,28,200
42,2020-09-24T00:00:00Z,50,130,26,200
43,2020-09-25T00:00:00Z,58,130,26,200
44,2020-09-26T00:00:00Z,54,127,26,200
45,2020-09-27T00:00:00Z,58,120,25,200
46,2020-09-28T00:00:00Z,66,118,19,200
47,2020-09-29T00:00:00Z,59,126,23,200
48,2020-09-30T00:00:00Z,50,132,25,200
49,2020-10-01T00:00:00Z,41,135,23,200
50,2020-10-02T00:00:00Z,45,133,19,200
51,2020-10-03T00:00:00Z,42,135,21,200
52,2020-10-04T00:00:00Z,50,133,23,200
53,2020-10-05T00:00:00Z,45,134,22,200
54,2020-10-06T00:00:00Z,44,134,24,200
55,2020-10-07T00:00:00Z,47,132,27,200
56,2020-10-08T00:00:00Z,48,131,29,200
57,2020-10-09T00:00:00Z,53,133,31,200
58,2020-10-10T00:00:00Z,50,135,30,200
59,2020-10-11T00:00:00Z,50,136,35,200
60,2020-10-12T00:00:00Z,58,132,34,200
61,2020-10-13T00:00:00Z,59,133,30,200
62,2020-10-14T00:00:00Z,57,132,29,200
63,2020-10-15T00:00:00Z,54,134,29,200
64,2020-10-16T00:00:00Z,61,133,28,200
65,2020-10-17T00:00:00Z,53,137,27,200
66,2020-10-18T00:00:00Z,60,137,24,200
67,2020-10-19T00:00:00Z,62,136,26,200
68,2020-10-20T00:00:00Z,64,134,28,200
69,2020-10-21T00:00:00Z,62,137,28,200
70,2020-10-22T00:00:00Z,61,142,31,200
71,2020-10-23T00:00:00Z,61,144,32,200
72,2020-10-24T00:00:00Z,57,145,28,200
73,2020-10-25T00:00:00Z,57,141,27,200
74,2020-10-26T00:00:00Z,54,139,24,200
75,2020-10-27T00:00:00Z,57,141,27,200
76,2020-10-29T00:00:00Z,55,137,24,200
77,2020-10-30T00:00:00Z,54,140,28,200
78,2020-10-31T00:00:00Z,53,140,32,200
79,2020-11-01T00:00:00Z,54,137,29,200
80,2020-11-02T00:00:00Z,59,134,27,200
81,2020-11-03T00:00:00Z,58,129,28,200
82,2020-11-04T00:00:00Z,59,123,24,200
83,2020-11-05T00:00:00Z,52,124,28,200
84,2020-11-06T00:00:00Z,56,122,29,200
85,2020-11-07T00:00:00Z,55,123,28,200
86,2020-11-08T00:00:00Z,50,129,32,200
87,2020-11-09T00:00:00Z,50,131,30,200
88,2020-11-10T00:00:00Z,49,132,27,200
89,2020-11-11T00:00:00Z,48,136,29,200
90,2020-11-12T00:00:00Z,51,138,30,200
91,2020-11-13T00:00:00Z,58,134,30,200
92,2020-11-14T00:00:00Z,53,135,34,200
93,2020-11-15T00:00:00Z,49,140,38,200
94,2020-11-16T00:00:00Z,51,137,40,200
95,2020-11-17T00:00:00Z,49,130,41,200
96,2020-11-18T00:00:00Z,55,130,44,200
97,2020-11-19T00:00:00Z,54,132,44,200
98,2020-11-20T00:00:00Z,51,136,43,200
99,2020-11-21T00:00:00Z,53,128,42,200
100,2020-11-23T00:00:00Z,56,141,38,200
101,2020-11-24T00:00:00Z,55,136,36,200
102,2020-11-25T00:00:00Z,53,126,33,200
103,2020-11-26T00:00:00Z,48,127,34,200
104,2020-11-27T00:00:00Z,50,135,30,200
105,2020-11-28T00:00:00Z,48,137,28,200
106,2020-11-29T00:00:00Z,48,129,26,200
107,2020-11-30T00:00:00Z,53,131,24,200
108,2020-12-01T00:00:00Z,50,134,27,200
109,2020-12-02T00:00:00Z,50,133,28,200
110,2020-12-03T00:00:00Z,49,137,28,200
111,2020-12-04T00:00:00Z,55,132,28,200
112,2020-12-05T00:00:00Z,58,134,28,200
113,2020-12-07T00:00:00Z,63,134,28,200
114,2020-12-08T00:00:00Z,62,130,27,200
115,2020-12-09T00:00:00Z,63,133,35,200
116,2020-12-10T00:00:00Z,58,136,36,200
117,2020-12-11T00:00:00Z,61,135,37,200
118,2020-12-12T00:00:00Z,60,136,34,200
119,2020-12-13T00:00:00Z,60,137,32,200
120,2020-12-14T00:00:00Z,45,141,35,200
121,2020-12-15T00:00:00Z,49,132,37,200
122,2020-12-16T00:00:00Z,49,130,36,200
123,2020-12-17T00:00:00Z,50,127,39,200
124,2020-12-18T00:00:00Z,46,129,42,199
125,2020-12-19T00:00:00Z,43,123,38,200
126,2020-12-20T00:00:00Z,50,129,35,200
127,2020-12-21T00:00:00Z,52,128,31,200
128,2020-12-22T00:00:00Z,51,128,32,200
129,2020-12-23T00:00:00Z,48,127,30,200
130,2020-12-24T00:00:00Z,45,127,31,200
131,2020-12-25T00:00:00Z,49,120,29,200
132,2020-12-26T00:00:00Z,50,124,30,200
133,2020-12-27T00:00:00Z,54,126,34,200
134,2020-12-28T00:00:00Z,61,124,34,200
135,2020-12-29T00:00:00Z,60,124,35,200
136,2020-12-31T00:00:00Z,55,127,33,200
137,2021-01-01T00:00:00Z,54,127,34,200
138,2021-01-02T00:00:00Z,59,126,34,200
139,2021-01-03T00:00:00Z,61,126,35,200
140,2021-01-04T00:00:00Z,52,134,36,200
141,2021-01-05T00:00:00Z,44,134,32,200
142,2021-01-06T00:00:00Z,41,134,34,200
143,2021-01-07T00:00:00Z,37,132,35,200
144,2021-01-08T00:00:00Z,42,133,35,200
145,2021-01-09T00:00:00Z,41,136,35,200
146,2021-01-10T00:00:00Z,42,127,33,200
147,2021-01-11T00:00:00Z,40,130,32,200
148,2021-01-12T00:00:00Z,39,131,36,200
149,2021-01-13T00:00:00Z,42,136,38,200
150,2021-01-14T00:00:00Z,47,140,37,200
151,2021-01-15T00:00:00Z,50,143,34,200
152,2021-01-16T00:00:00Z,49,145,36,200
153,2021-01-17T00:00:00Z,44,140,40,200
154,2021-01-18T00:00:00Z,46,146,41,200
155,2021-01-19T00:00:00Z,49,146,42,200
156,2021-01-20T00:00:00Z,52,140,43,200
157,2021-01-21T00:00:00Z,50,132,36,200
158,2021-01-22T00:00:00Z,53,138,34,200
159,2021-01-23T00:00:00Z,55,137,35,200
160,2021-01-24T00:00:00Z,54,140,37,200
161,2021-01-25T00:00:00Z,47,140,31,200
162,2021-01-26T00:00:00Z,44,140,28,200
163,2021-01-27T00:00:00Z,43,147,25,200
164,2021-01-28T00:00:00Z,45,150,25,200
165,2021-01-29T00:00:00Z,51,145,29,200
166,2021-01-30T00:00:00Z,47,147,27,200
167,2021-01-31T00:00:00Z,49,148,36,200
168,2021-02-01T00:00:00Z,57,148,33,200
169,2021-02-02T00:00:00Z,63,144,38,200
170,2021-02-03T00:00:00Z,57,138,39,200
