,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,1,13,0,13
1,2020-08-13T00:00:00Z,1,14,1,14
2,2020-08-14T00:00:00Z,0,11,1,11
3,2020-08-15T00:00:00Z,1,13,1,13
4,2020-08-16T00:00:00Z,2,14,1,15
5,2020-08-17T00:00:00Z,2,13,1,15
6,2020-08-18T00:00:00Z,3,15,1,17
7,2020-08-19T00:00:00Z,3,16,1,19
8,2020-08-20T00:00:00Z,5,18,2,22
9,2020-08-21T00:00:00Z,5,18,2,21
10,2020-08-23T00:00:00Z,4,14,2,17
11,2020-08-24T00:00:00Z,4,14,1,16
12,2020-08-25T00:00:00Z,5,12,1,13
13,2020-08-26T00:00:00Z,4,16,3,16
14,2020-08-27T00:00:00Z,3,17,3,17
15,2020-08-28T00:00:00Z,4,17,3,18
16,2020-08-29T00:00:00Z,4,17,3,18
17,2020-08-30T00:00:00Z,4,14,3,16
18,2020-08-31T00:00:00Z,1,10,0,12
19,2020-09-01T00:00:00Z,0,12,1,13
20,2020-09-02T00:00:00Z,2,15,1,16
21,2020-09-03T00:00:00Z,2,15,1,16
22,2020-09-04T00:00:00Z,3,15,1,15
23,2020-09-05T00:00:00Z,3,14,2,15
24,2020-09-06T00:00:00Z,3,12,2,13
25,2020-09-07T00:00:00Z,1,12,1,15
26,2020-09-08T00:00:00Z,2,14,3,18
27,2020-09-09T00:00:00Z,2,16,3,21
28,2020-09-10T00:00:00Z,4,18,2,23
29,2020-09-11T00:00:00Z,3,19,2,24
30,2020-09-12T00:00:00Z,1,16,2,21
31,2020-09-13T00:00:00Z,2,18,3,22
32,2020-09-14T00:00:00Z,7,23,2,30
33,2020-09-15T00:00:00Z,6,23,2,30
34,2020-09-16T00:00:00Z,6,19,2,27
35,2020-09-17T00:00:00Z,5,17,1,24
36,2020-09-18T00:00:00Z,5,17,1,24
37,2020-09-19T00:00:00Z,4,16,1,23
38,2020-09-20T00:00:00Z,7,19,1,28
39,2020-09-21T00:00:00Z,5,16,0,20
40,2020-09-22T00:00:00Z,6,19,0,24
41,2020-09-23T00:00:00Z,6,21,0,26
42,2020-09-24T00:00:00Z,5,23,0,28
43,2020-09-25T00:00:00Z,5,21,0,24
44,2020-09-26T00:00:00Z,4,19,0,22
45,2020-09-27T00:00:00Z,3,15,0,17
46,2020-09-28T00:00:00Z,7,18,0,24
47,2020-09-29T00:00:00Z,7,15,0,22
48,2020-09-30T00:00:00Z,7,19,0,26
49,2020-10-01T00:00:00Z,7,18,0,25
50,2020-10-02T00:00:00Z,7,18,0,22
51,2020-10-03T00:00:00Z,7,17,0,21
52,2020-10-04T00:00:00Z,5,13,0,16
53,2020-10-05T00:00:00Z,4,15,0,18
54,2020-10-06T00:00:00Z,4,18,0,22
55,2020-10-07T00:00:00Z,5,17,1,22
56,2020-10-08T00:00:00Z,5,17,1,23
57,2020-10-09T00:00:00Z,4,17,1,23
58,2020-10-10T00:00:00Z,4,17,1,23
59,2020-10-11T00:00:00Z,3,14,1,21
60,2020-10-12T00:00:00Z,2,12,3,16
61,2020-10-13T00:00:00Z,1,9,2,13
62,2020-10-14T00:00:00Z,1,16,2,21
63,2020-10-15T00:00:00Z,2,16,2,20
64,2020-10-16T00:00:00Z,1,15,1,18
65,2020-10-17T00:00:00Z,2,15,1,19
66,2020-10-18T00:00:00Z,3,17,0,22
67,2020-10-19T00:00:00Z,3,20,2,24
68,2020-10-20T00:00:00Z,3,20,2,25
69,2020-10-21T00:00:00Z,3,20,2,25
70,2020-10-22T00:00:00Z,3,26,2,29
71,2020-10-23T00:00:00Z,2,25,2,29
72,2020-10-24T00:00:00Z,2,24,2,27
73,2020-10-25T00:00:00Z,3,24,2,29
74,2020-10-26T00:00:00Z,3,18,0,26
75,2020-10-27T00:00:00Z,4,16,1,22
76,2020-10-29T00:00:00Z,4,17,1,24
77,2020-10-30T00:00:00Z,3,17,1,21
78,2020-10-31T00:00:00Z,4,15,1,18
79,2020-11-01T00:00:00Z,4,15,1,18
80,2020-11-02T00:00:00Z,4,15,0,17
81,2020-11-03T00:00:00Z,4,14,0,15
82,2020-11-04T00:00:00Z,3,12,0,14
83,2020-11-05T00:00:00Z,2,13,0,14
84,2020-11-06T00:00:00Z,2,12,0,13
85,2020-11-07T00:00:00Z,2,12,0,13
86,2020-11-08T00:00:00Z,2,12,0,13
87,2020-11-09T00:00:00Z,4,16,0,18
88,2020-11-10T00:00:00Z,4,15,2,18
89,2020-11-11T00:00:00Z,3,13,2,17
90,2020-11-12T00:00:00Z,3,12,2,16
91,2020-11-13T00:00:00Z,3,12,2,18
92,2020-11-14T00:00:00Z,3,12,2,17
93,2020-11-15T00:00:00Z,2,10,2,17
94,2020-11-16T00:00:00Z,1,6,1,12
95,2020-11-17T00:00:00Z,0,2,0,7
96,2020-11-18T00:00:00Z,0,4,0,10
97,2020-11-19T00:00:00Z,0,5,0,11
98,2020-11-20T00:00:00Z,0,6,0,11
99,2020-11-21T00:00:00Z,0,5,0,10
100,2020-11-23T00:00:00Z,0,8,1,11
101,2020-11-24T00:00:00Z,1,8,1,9
102,2020-11-25T00:00:00Z,2,10,1,13
103,2020-11-26T00:00:00Z,4,19,2,27
104,2020-11-27T00:00:00Z,4,23,2,28
105,2020-11-28T00:00:00Z,4,22,2,25
106,2020-11-29T00:00:00Z,3,21,2,27
107,2020-11-30T00:00:00Z,7,25,1,36
108,2020-12-01T00:00:00Z,5,22,1,31
109,2020-12-02T00:00:00Z,6,25,2,35
110,2020-12-03T00:00:00Z,7,23,0,31
111,2020-12-04T00:00:00Z,6,23,1,30
112,2020-12-05T00:00:00Z,5,23,1,30
113,2020-12-07T00:00:00Z,5,25,1,29
114,2020-12-08T00:00:00Z,6,25,0,30
115,2020-12-09T00:00:00Z,8,27,2,32
116,2020-12-10T00:00:00Z,8,26,2,29
117,2020-12-11T00:00:00Z,8,24,2,27
118,2020-12-12T00:00:00Z,7,22,2,24
119,2020-12-13T00:00:00Z,6,23,2,25
120,2020-12-14T00:00:00Z,8,27,2,30
121,2020-12-15T00:00:00Z,6,21,2,23
122,2020-12-16T00:00:00Z,3,13,1,14
123,2020-12-17T00:00:00Z,4,15,1,17
124,2020-12-18T00:00:00Z,4,16,2,18
125,2020-12-19T00:00:00Z,4,12,1,15
126,2020-12-20T00:00:00Z,3,8,1,10
127,2020-12-21T00:00:00Z,3,9,1,14
128,2020-12-22T00:00:00Z,1,7,2,13
129,2020-12-23T00:00:00Z,2,10,2,15
130,2020-12-24T00:00:00Z,2,10,1,16
