,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,28,133,8,200
1,2020-08-13T00:00:00Z,33,128,10,200
2,2020-08-14T00:00:00Z,39,126,7,200
3,2020-08-15T00:00:00Z,41,135,11,200
4,2020-08-16T00:00:00Z,35,129,6,200
5,2020-08-17T00:00:00Z,25,119,5,200
6,2020-08-18T00:00:00Z,24,117,11,200
7,2020-08-19T00:00:00Z,22,114,10,200
8,2020-08-20T00:00:00Z,29,116,13,200
9,2020-08-21T00:00:00Z,26,119,9,200
10,2020-08-22T00:00:00Z,33,114,4,200
11,2020-08-23T00:00:00Z,28,111,5,200
12,2020-08-24T00:00:00Z,27,114,6,200
13,2020-08-25T00:00:00Z,33,116,9,200
14,2020-08-26T00:00:00Z,35,119,8,200
15,2020-08-27T00:00:00Z,35,121,6,200
16,2020-08-28T00:00:00Z,34,116,5,200
17,2020-08-29T00:00:00Z,33,114,6,200
18,2020-08-30T00:00:00Z,38,111,6,200
19,2020-08-31T00:00:00Z,31,119,9,200
20,2020-09-01T00:00:00Z,20,107,10,200
21,2020-09-02T00:00:00Z,26,121,7,200
22,2020-09-03T00:00:00Z,36,115,7,200
23,2020-09-04T00:00:00Z,37,105,8,200
24,2020-09-05T00:00:00Z,40,111,3,200
25,2020-09-06T00:00:00Z,31,123,4,200
26,2020-09-07T00:00:00Z,28,125,7,200
27,2020-09-08T00:00:00Z,26,111,8,200
28,2020-09-09T00:00:00Z,24,104,9,200
29,2020-09-10T00:00:00Z,23,111,10,200
30,2020-09-11T00:00:00Z,29,114,6,200
31,2020-09-12T00:00:00Z,26,114,9,200
32,2020-09-13T00:00:00Z,21,116,10,200
33,2020-09-14T00:00:00Z,25,115,7,200
34,2020-09-15T00:00:00Z,19,103,9,200
35,2020-09-16T00:00:00Z,34,113,4,200
36,2020-09-17T00:00:00Z,35,123,4,200
37,2020-09-18T00:00:00Z,28,100,4,200
38,2020-09-19T00:00:00Z,30,116,8,200
39,2020-09-20T00:00:00Z,22,121,14,200
40,2020-09-21T00:00:00Z,29,117,11,200
