,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,1,20,1,30
1,2020-08-13T00:00:00Z,1,21,1,29
2,2020-08-14T00:00:00Z,5,31,4,41
3,2020-08-15T00:00:00Z,4,36,2,42
4,2020-08-16T00:00:00Z,4,24,0,34
5,2020-08-17T00:00:00Z,6,15,0,32
6,2020-08-18T00:00:00Z,2,20,0,29
7,2020-08-19T00:00:00Z,1,24,1,33
8,2020-08-20T00:00:00Z,3,22,2,32
9,2020-08-21T00:00:00Z,1,27,1,38
10,2020-08-22T00:00:00Z,1,24,0,35
11,2020-08-23T00:00:00Z,1,24,1,34
12,2020-08-24T00:00:00Z,2,16,0,27
13,2020-08-25T00:00:00Z,3,16,3,29
14,2020-08-26T00:00:00Z,1,18,2,28
15,2020-08-27T00:00:00Z,3,18,1,30
16,2020-08-28T00:00:00Z,2,21,1,34
17,2020-08-29T00:00:00Z,2,25,1,37
18,2020-08-30T00:00:00Z,3,18,2,31
19,2020-08-31T00:00:00Z,3,16,3,25
20,2020-09-01T00:00:00Z,3,16,4,31
21,2020-09-02T00:00:00Z,3,16,2,30
22,2020-09-03T00:00:00Z,3,20,1,31
23,2020-09-04T00:00:00Z,3,30,1,45
24,2020-09-05T00:00:00Z,4,21,0,35
25,2020-09-06T00:00:00Z,2,21,0,33
26,2020-09-07T00:00:00Z,2,25,0,34
27,2020-09-08T00:00:00Z,1,22,0,35
28,2020-09-09T00:00:00Z,1,22,1,34
29,2020-09-10T00:00:00Z,3,29,5,42
30,2020-09-11T00:00:00Z,3,30,0,41
31,2020-09-12T00:00:00Z,4,37,3,47
32,2020-09-13T00:00:00Z,0,23,3,30
33,2020-09-14T00:00:00Z,5,19,0,29
34,2020-09-15T00:00:00Z,1,11,2,22
35,2020-09-16T00:00:00Z,3,14,1,24
36,2020-09-17T00:00:00Z,4,16,0,29
37,2020-09-18T00:00:00Z,3,19,1,34
38,2020-09-19T00:00:00Z,3,27,4,41
39,2020-09-20T00:00:00Z,4,25,2,38
40,2020-09-21T00:00:00Z,6,20,2,36
41,2020-09-22T00:00:00Z,6,21,3,29
42,2020-09-23T00:00:00Z,3,22,1,34
43,2020-09-24T00:00:00Z,2,19,1,30
44,2020-09-25T00:00:00Z,4,27,1,39
45,2020-09-26T00:00:00Z,4,23,1,29
46,2020-09-27T00:00:00Z,3,26,2,38
47,2020-09-28T00:00:00Z,4,21,2,31
48,2020-09-29T00:00:00Z,6,15,1,27
49,2020-09-30T00:00:00Z,1,13,1,21
50,2020-10-01T00:00:00Z,4,12,1,26
51,2020-10-02T00:00:00Z,3,10,1,22
52,2020-10-03T00:00:00Z,3,14,0,23
53,2020-10-04T00:00:00Z,2,16,0,26
54,2020-10-05T00:00:00Z,1,17,1,26
55,2020-10-06T00:00:00Z,0,14,1,25
56,2020-10-07T00:00:00Z,0,16,0,24
57,2020-10-08T00:00:00Z,2,16,0,25
58,2020-10-09T00:00:00Z,3,23,1,36
59,2020-10-10T00:00:00Z,1,21,0,28
60,2020-10-11T00:00:00Z,3,13,1,24
61,2020-10-12T00:00:00Z,2,17,1,31
62,2020-10-13T00:00:00Z,4,17,2,34
63,2020-10-14T00:00:00Z,1,12,4,20
64,2020-10-15T00:00:00Z,1,22,2,28
65,2020-10-16T00:00:00Z,4,25,1,31
66,2020-10-17T00:00:00Z,5,23,4,30
67,2020-10-18T00:00:00Z,2,17,4,29
68,2020-10-19T00:00:00Z,2,15,0,31
69,2020-10-20T00:00:00Z,5,20,3,28
70,2020-10-21T00:00:00Z,3,15,1,23
71,2020-10-22T00:00:00Z,1,18,0,25
72,2020-10-23T00:00:00Z,0,17,2,26
73,2020-10-24T00:00:00Z,1,17,3,24
74,2020-10-25T00:00:00Z,2,17,1,25
75,2020-10-26T00:00:00Z,2,21,2,27
76,2020-10-27T00:00:00Z,2,21,1,27
77,2020-10-29T00:00:00Z,2,22,0,27
78,2020-10-30T00:00:00Z,3,20,0,31
79,2020-10-31T00:00:00Z,4,13,0,23
80,2020-11-01T00:00:00Z,3,11,0,19
81,2020-11-02T00:00:00Z,1,19,2,35
82,2020-11-03T00:00:00Z,1,26,4,40
83,2020-11-04T00:00:00Z,3,23,2,34
84,2020-11-05T00:00:00Z,2,22,3,33
85,2020-11-06T00:00:00Z,5,20,3,36
