,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,46,107,5,200
1,2020-08-13T00:00:00Z,47,112,5,200
2,2020-08-14T00:00:00Z,48,111,5,200
3,2020-08-15T00:00:00Z,48,108,3,200
4,2020-08-16T00:00:00Z,60,110,3,200
5,2020-08-17T00:00:00Z,62,111,4,200
6,2020-08-18T00:00:00Z,63,106,5,200
7,2020-08-19T00:00:00Z,51,106,6,200
8,2020-08-20T00:00:00Z,47,102,6,200
9,2020-08-21T00:00:00Z,49,99,5,200
10,2020-08-22T00:00:00Z,50,95,5,200
11,2020-08-23T00:00:00Z,49,106,2,200
12,2020-08-24T00:00:00Z,54,104,1,200
13,2020-08-25T00:00:00Z,61,108,2,200
14,2020-08-26T00:00:00Z,57,111,3,200
15,2020-08-27T00:00:00Z,54,113,4,200
16,2020-08-28T00:00:00Z,57,112,3,200
17,2020-08-29T00:00:00Z,65,95,2,200
18,2020-08-30T00:00:00Z,67,89,4,200
19,2020-08-31T00:00:00Z,64,84,3,200
20,2020-09-01T00:00:00Z,63,89,5,200
21,2020-09-02T00:00:00Z,56,90,5,200
22,2020-09-03T00:00:00Z,49,94,4,200
23,2020-09-04T00:00:00Z,50,93,5,200
24,2020-09-05T00:00:00Z,44,94,4,200
25,2020-09-06T00:00:00Z,43,92,7,200
26,2020-09-07T00:00:00Z,49,103,7,200
27,2020-09-08T00:00:00Z,48,104,7,200
28,2020-09-09T00:00:00Z,42,110,7,200
29,2020-09-10T00:00:00Z,41,107,6,200
30,2020-09-11T00:00:00Z,42,118,5,200
31,2020-09-12T00:00:00Z,40,107,4,200
32,2020-09-13T00:00:00Z,44,103,2,200
33,2020-09-14T00:00:00Z,49,102,3,200
34,2020-09-15T00:00:00Z,48,101,1,200
35,2020-09-16T00:00:00Z,43,104,0,200
36,2020-09-17T00:00:00Z,35,106,0,200
37,2020-09-18T00:00:00Z,48,106,1,200
38,2020-09-19T00:00:00Z,50,108,1,200
39,2020-09-20T00:00:00Z,41,117,0,200
40,2020-09-21T00:00:00Z,64,104,2,200
41,2020-09-22T00:00:00Z,68,103,2,200
42,2020-09-23T00:00:00Z,69,97,3,200
43,2020-09-24T00:00:00Z,61,104,2,200
44,2020-09-25T00:00:00Z,57,102,3,200
45,2020-09-26T00:00:00Z,58,89,3,200
46,2020-09-27T00:00:00Z,66,89,3,200
47,2020-09-28T00:00:00Z,69,98,2,200
48,2020-09-29T00:00:00Z,70,101,4,200
49,2020-09-30T00:00:00Z,57,103,4,200
50,2020-10-01T00:00:00Z,50,110,4,200
51,2020-10-02T00:00:00Z,45,106,7,200
52,2020-10-03T00:00:00Z,42,109,7,200
53,2020-10-04T00:00:00Z,44,104,4,200
54,2020-10-05T00:00:00Z,46,99,3,200
55,2020-10-06T00:00:00Z,50,102,4,200
56,2020-10-07T00:00:00Z,47,97,4,200
57,2020-10-08T00:00:00Z,47,102,4,200
58,2020-10-09T00:00:00Z,46,104,5,200
59,2020-10-10T00:00:00Z,54,96,3,199
60,2020-10-11T00:00:00Z,62,98,3,200
61,2020-10-12T00:00:00Z,65,104,2,199
62,2020-10-13T00:00:00Z,63,114,1,200
63,2020-10-14T00:00:00Z,61,103,3,200
64,2020-10-15T00:00:00Z,59,101,6,200
65,2020-10-16T00:00:00Z,59,101,6,200
66,2020-10-17T00:00:00Z,54,97,6,200
67,2020-10-18T00:00:00Z,51,102,8,200
68,2020-10-19T00:00:00Z,72,112,8,200
69,2020-10-20T00:00:00Z,70,109,9,200
70,2020-10-21T00:00:00Z,57,112,7,200
71,2020-10-22T00:00:00Z,53,114,6,200
72,2020-10-23T00:00:00Z,52,106,5,200
73,2020-10-24T00:00:00Z,56,103,6,200
74,2020-10-25T00:00:00Z,54,107,4,200
75,2020-10-26T00:00:00Z,54,104,3,200
76,2020-10-27T00:00:00Z,64,98,4,200
77,2020-10-29T00:00:00Z,55,106,3,200
78,2020-10-30T00:00:00Z,58,103,1,200
79,2020-10-31T00:00:00Z,60,103,3,200
80,2020-11-01T00:00:00Z,68,95,4,200
81,2020-11-02T00:00:00Z,63,95,4,200
82,2020-11-03T00:00:00Z,69,98,6,200
83,2020-11-04T00:00:00Z,64,103,4,200
84,2020-11-05T00:00:00Z,59,105,3,200
85,2020-11-06T00:00:00Z,65,106,5,200
86,2020-11-07T00:00:00Z,66,102,5,200
87,2020-11-08T00:00:00Z,53,103,6,200
88,2020-11-09T00:00:00Z,45,104,7,200
89,2020-11-10T00:00:00Z,54,112,7,200
90,2020-11-11T00:00:00Z,54,107,7,200
91,2020-11-12T00:00:00Z,56,107,6,200
92,2020-11-13T00:00:00Z,61,113,7,200
93,2020-11-14T00:00:00Z,60,112,7,200
94,2020-11-15T00:00:00Z,66,112,6,200
95,2020-11-16T00:00:00Z,50,101,3,200
96,2020-11-17T00:00:00Z,46,102,2,200
97,2020-11-18T00:00:00Z,46,105,4,200
98,2020-11-19T00:00:00Z,40,101,5,200
99,2020-11-20T00:00:00Z,44,92,4,200
100,2020-11-21T00:00:00Z,45,93,3,200
101,2020-11-23T00:00:00Z,59,83,3,200
102,2020-11-24T00:00:00Z,68,77,1,200
103,2020-11-25T00:00:00Z,67,70,1,200
