,date,number_of_titles_with_parenthesis_or_squarebracket_usage,number_of_titles_with_caps_usage,number_of_titles_with_emoji_usage,total_number_of_titles
0,2020-08-12T00:00:00Z,2,5,0,20
1,2020-08-13T00:00:00Z,3,4,0,16
2,2020-08-14T00:00:00Z,1,1,0,12
3,2020-08-15T00:00:00Z,2,2,0,11
4,2020-08-16T00:00:00Z,1,1,0,3
5,2020-08-17T00:00:00Z,0,1,0,2
6,2020-08-18T00:00:00Z,0,1,0,3
7,2020-08-19T00:00:00Z,0,2,0,7
8,2020-08-20T00:00:00Z,0,4,0,11
9,2020-08-21T00:00:00Z,0,3,0,9
10,2020-08-22T00:00:00Z,0,2,0,9
11,2020-08-23T00:00:00Z,0,2,0,10
12,2020-08-24T00:00:00Z,0,3,0,13
13,2020-08-25T00:00:00Z,1,3,0,11
14,2020-08-26T00:00:00Z,2,3,0,9
15,2020-08-27T00:00:00Z,2,3,0,14
16,2020-08-28T00:00:00Z,2,6,0,15
17,2020-08-29T00:00:00Z,3,7,0,21
18,2020-08-30T00:00:00Z,3,6,0,19
19,2020-08-31T00:00:00Z,3,5,0,17
20,2020-09-01T00:00:00Z,2,4,0,11
21,2020-09-02T00:00:00Z,1,2,0,8
22,2020-09-03T00:00:00Z,1,0,0,8
23,2020-09-04T00:00:00Z,0,0,0,7
24,2020-09-05T00:00:00Z,0,1,0,8
25,2020-09-06T00:00:00Z,0,1,0,9
26,2020-09-07T00:00:00Z,0,5,0,12
27,2020-09-08T00:00:00Z,0,6,0,12
28,2020-09-09T00:00:00Z,0,6,0,12
29,2020-09-10T00:00:00Z,0,6,0,14
30,2020-09-11T00:00:00Z,0,6,0,13
31,2020-09-12T00:00:00Z,0,5,0,13
32,2020-09-13T00:00:00Z,0,3,0,12
33,2020-09-14T00:00:00Z,0,1,0,9
34,2020-09-15T00:00:00Z,0,2,0,6
35,2020-09-16T00:00:00Z,0,1,0,5
36,2020-09-17T00:00:00Z,0,2,0,5
37,2020-09-18T00:00:00Z,0,1,0,4
38,2020-09-19T00:00:00Z,0,1,0,4
39,2020-09-20T00:00:00Z,0,5,0,7
40,2020-09-21T00:00:00Z,0,4,0,5
41,2020-09-22T00:00:00Z,0,4,0,4
42,2020-09-23T00:00:00Z,0,3,0,3
43,2020-09-24T00:00:00Z,0,4,0,5
44,2020-09-25T00:00:00Z,0,1,0,3
45,2020-09-26T00:00:00Z,0,1,0,3
46,2020-09-27T00:00:00Z,0,2,0,4
47,2020-09-28T00:00:00Z,0,4,0,6
48,2020-09-29T00:00:00Z,0,3,0,3
49,2020-09-30T00:00:00Z,0,2,0,4
50,2020-10-01T00:00:00Z,0,4,0,6
51,2020-10-02T00:00:00Z,0,2,0,4
52,2020-10-03T00:00:00Z,0,1,0,3
53,2020-10-04T00:00:00Z,0,3,0,6
54,2020-10-05T00:00:00Z,0,5,0,9
55,2020-10-06T00:00:00Z,0,4,0,10
56,2020-10-07T00:00:00Z,0,4,0,11
57,2020-10-08T00:00:00Z,0,4,0,12
58,2020-10-09T00:00:00Z,0,4,0,10
59,2020-10-10T00:00:00Z,0,4,0,9
60,2020-10-11T00:00:00Z,0,2,0,7
61,2020-10-12T00:00:00Z,0,2,0,6
62,2020-10-13T00:00:00Z,0,3,0,7
63,2020-10-14T00:00:00Z,0,1,0,5
64,2020-10-15T00:00:00Z,0,1,0,5
65,2020-10-16T00:00:00Z,0,3,0,7
66,2020-10-17T00:00:00Z,0,3,0,7
67,2020-10-18T00:00:00Z,0,2,0,6
68,2020-10-19T00:00:00Z,0,2,0,4
69,2020-10-20T00:00:00Z,0,2,0,4
70,2020-10-21T00:00:00Z,0,2,0,4
71,2020-10-22T00:00:00Z,0,2,0,4
72,2020-10-23T00:00:00Z,0,2,0,5
73,2020-10-24T00:00:00Z,0,0,0,3
74,2020-10-25T00:00:00Z,0,0,0,3
75,2020-10-26T00:00:00Z,0,0,0,5
76,2020-10-27T00:00:00Z,0,1,0,9
77,2020-10-29T00:00:00Z,0,1,0,9
78,2020-10-30T00:00:00Z,0,1,0,7
